task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine,decision_source
1,EUROPE,,5.0,5.0,3.676,5.0,2,1,1,LLM,model
2,USA,,10.0,10.0,3.672,5.0,15,1,1,LLM,model
3,EUROPE,restricao_residencia_dados_ue,30.0,30.0,3.695,5.0,2,1,1,LLM,model
4,USA,,65.0,65.0,3.672,5.0,15,1,1,LLM,model
5,EUROPE,,90.0,90.0,3.672,5.0,2,1,1,LLM,model
6,USA,,115.0,115.0,3.672,5.0,15,1,1,LLM,model
7,BRAZIL,,125.0,125.0,3.672,5.0,1,1,1,LLM,model
8,EUROPE,,130.0,130.0,3.671,5.0,2,1,1,LLM,model
9,EUROPE,,185.0,185.0,3.672,5.0,2,1,1,LLM,model
10,EUROPE,,210.0,210.0,3.672,5.0,2,1,1,LLM,model
11,EUROPE,,220.0,220.0,3.672,5.0,2,1,1,LLM,model
12,EUROPE,,270.0,270.0,3.672,5.0,2,1,1,LLM,model
13,EUROPE,,310.0,310.0,3.672,5.0,2,1,1,LLM,model
14,EUROPE,,325.0,325.0,3.672,5.0,2,1,1,LLM,model
15,EUROPE,,350.0,350.0,3.672,5.0,2,1,1,LLM,model
16,EUROPE,,365.0,365.0,3.672,5.0,2,1,1,LLM,model
17,BRAZIL,,405.0,405.0,3.672,5.0,1,1,1,LLM,model
18,USA,,460.0,460.0,3.672,5.0,15,1,1,LLM,model
19,EUROPE,,470.0,470.0,3.671,5.0,2,1,1,LLM,model
20,USA,,495.0,495.0,3.672,5.0,15,1,1,LLM,model
21,EUROPE,,505.0,505.0,3.671,5.0,,0,1,LLM,model
22,BRAZIL,,530.0,530.0,3.672,5.0,1,1,1,LLM,model
23,BRAZIL,,535.0,535.0,3.671,5.0,1,1,1,LLM,model
24,EUROPE,,545.0,545.0,3.671,5.0,2,1,1,LLM,model
25,EUROPE,,555.0,555.0,3.671,5.0,2,1,1,LLM,model
26,USA,,570.0,570.0,3.672,5.0,15,1,1,LLM,model
27,BRAZIL,,575.0,575.0,3.671,5.0,,0,1,LLM,model
28,USA,,615.0,615.0,3.672,5.0,15,1,1,LLM,model
29,EUROPE,,625.0,625.0,3.671,5.0,2,1,1,LLM,model
30,USA,,665.0,665.0,3.671,5.0,15,1,1,LLM,model
31,USA,,685.0,685.0,3.672,5.0,15,1,1,LLM,model
32,EUROPE,,735.0,735.0,3.671,5.0,2,1,1,LLM,model
33,EUROPE,,740.0,740.0,3.671,5.0,2,1,1,LLM,model
34,USA,,785.0,785.0,3.672,5.0,15,1,1,LLM,model
35,EUROPE,,800.0,800.0,3.671,5.0,2,1,1,LLM,model
36,USA,restricao_lgpd_brasil,830.0,830.0,3.688,5.0,1,1,1,LLM,model
37,USA,,845.0,845.0,3.672,5.0,15,1,1,LLM,model
38,BRAZIL,,850.0,850.0,3.671,5.0,1,1,1,LLM,model
39,EUROPE,,865.0,865.0,3.671,5.0,2,1,1,LLM,model
40,EUROPE,,890.0,890.0,3.671,5.0,2,1,1,LLM,model
41,EUROPE,restricao_residencia_dados_ue,920.0,920.0,3.685,5.0,2,1,1,LLM,model
42,EUROPE,,930.0,930.0,3.672,5.0,,0,1,LLM,model
43,EUROPE,,935.0,935.0,3.671,5.0,2,1,1,LLM,model
44,BRAZIL,,945.0,945.0,3.671,5.0,1,1,1,LLM,model
45,USA,,995.0,995.0,3.671,5.0,,0,1,LLM,model
46,EUROPE,,1005.0,1005.0,3.672,5.0,2,1,1,LLM,model
47,BRAZIL,,1010.0,1010.0,3.671,5.0,1,1,1,LLM,model
48,BRAZIL,,1035.0,1035.0,3.671,5.0,1,1,1,LLM,model
49,EUROPE,,1055.0,1055.0,3.671,5.0,2,1,1,LLM,model
50,EUROPE,,1065.0,1065.0,3.671,5.0,2,1,1,LLM,model
51,BRAZIL,,1075.0,1075.0,3.671,5.0,1,1,1,LLM,model
52,USA,,1085.0,1085.0,3.672,5.0,15,1,1,LLM,model
53,EUROPE,,1115.0,1115.0,3.671,5.0,2,1,1,LLM,model
54,USA,,1135.0,1135.0,3.672,5.0,15,1,1,LLM,model
55,EUROPE,,1140.0,1140.0,3.675,5.0,2,1,1,LLM,model
56,USA,,1160.0,1160.0,3.671,5.0,15,1,1,LLM,model
57,BRAZIL,restricao_residencia_dados_ue,1165.0,1165.0,3.688,5.0,2,1,1,LLM,model
58,BRAZIL,,1195.0,1195.0,3.672,5.0,1,1,1,LLM,model
