task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine,decision_source
1,EUROPE,,5.0,10.0,50.0,0.1,2,1,1,SLM,model
2,BRAZIL,,25.0,30.0,50.0,0.1,1,1,1,SLM,model
3,BRAZIL,,135.0,140.0,50.0,0.1,1,1,1,SLM,model
4,USA,,145.0,150.0,50.0,0.1,15,1,1,SLM,model
5,EUROPE,restricao_hipaa_eua,150.0,155.0,50.0,0.1,2,1,0,SLM,model
6,EUROPE,,175.0,180.0,50.0,0.1,2,1,1,SLM,model
7,EUROPE,,185.0,190.0,50.0,0.1,2,1,1,SLM,model
8,BRAZIL,,205.0,210.0,50.0,0.1,1,1,1,SLM,model
9,EUROPE,,215.0,220.0,50.0,0.1,2,1,1,SLM,model
10,BRAZIL,falha_calibracao_sensor_termico,220.0,225.0,50.0,0.1,,0,1,SLM,model
11,BRAZIL,,235.0,240.0,50.0,0.1,1,1,1,SLM,model
12,USA,falha_calibracao_sensor_termico,250.0,255.0,50.0,0.1,,0,1,SLM,model
13,EUROPE,,255.0,260.0,50.0,0.1,2,1,1,SLM,model
14,EUROPE,,275.0,280.0,50.0,0.1,2,1,1,SLM,model
15,EUROPE,,285.0,290.0,50.0,0.1,2,1,1,SLM,model
16,BRAZIL,,310.0,315.0,50.0,0.1,1,1,1,SLM,model
17,EUROPE,,330.0,335.0,50.0,0.1,2,1,1,SLM,model
18,BRAZIL,,345.0,350.0,50.0,0.1,1,1,1,SLM,model
19,USA,restricao_lgpd_brasil,360.0,365.0,50.0,0.1,15,1,0,SLM,model
20,USA,,400.0,405.0,50.0,0.1,15,1,1,SLM,model
21,BRAZIL,,440.0,445.0,50.0,0.1,1,1,1,SLM,model
22,BRAZIL,,445.0,450.0,50.0,0.1,1,1,1,SLM,model
23,USA,,465.0,470.0,50.0,0.1,15,1,1,SLM,model
24,EUROPE,,470.0,475.0,50.0,0.1,2,1,1,SLM,model
25,EUROPE,,475.0,480.0,50.0,0.1,2,1,1,SLM,model
26,EUROPE,,480.0,485.0,50.0,0.1,2,1,1,SLM,model
27,USA,,510.0,515.0,50.0,0.1,15,1,1,SLM,model
28,USA,,515.0,520.0,50.0,0.1,15,1,1,SLM,model
29,BRAZIL,,520.0,525.0,50.0,0.1,1,1,1,SLM,model
30,EUROPE,,525.0,530.0,50.0,0.1,2,1,1,SLM,model
31,BRAZIL,,540.0,545.0,50.0,0.1,1,1,1,SLM,model
32,BRAZIL,,555.0,560.0,50.0,0.1,1,1,1,SLM,model
33,EUROPE,,560.0,565.0,50.0,0.1,2,1,1,SLM,model
34,BRAZIL,,580.0,585.0,50.0,0.1,1,1,1,SLM,model
35,USA,,590.0,595.0,50.0,0.1,15,1,1,SLM,model
36,BRAZIL,,605.0,610.0,50.0,0.1,1,1,1,SLM,model
37,EUROPE,,640.0,645.0,50.0,0.1,2,1,1,SLM,model
38,BRAZIL,,670.0,675.0,50.0,0.1,1,1,1,SLM,model
39,BRAZIL,,680.0,685.0,50.0,0.1,1,1,1,SLM,model
40,EUROPE,,685.0,690.0,50.0,0.1,2,1,1,SLM,model
41,BRAZIL,,695.0,700.0,50.0,0.1,1,1,1,SLM,model
42,EUROPE,,715.0,720.0,50.0,0.1,2,1,1,SLM,model
43,EUROPE,,720.0,725.0,50.0,0.1,2,1,1,SLM,model
44,USA,restricao_residencia_dados_ue,750.0,755.0,50.0,0.1,,0,0,SLM,parse_failure
45,BRAZIL,,760.0,765.0,50.0,0.1,1,1,1,SLM,model
46,USA,restricao_itar_eua,780.0,785.0,50.0,0.1,15,1,1,SLM,model
47,USA,,810.0,815.0,50.0,0.1,15,1,1,SLM,model
48,USA,,835.0,840.0,50.0,0.1,15,1,1,SLM,model
49,USA,,850.0,855.0,50.0,0.1,15,1,1,SLM,model
50,USA,,860.0,865.0,50.0,0.1,15,1,1,SLM,model
51,BRAZIL,restricao_itar_eua,870.0,875.0,50.0,0.1,15,1,1,SLM,model
52,EUROPE,,910.0,915.0,50.0,0.1,2,1,1,SLM,model
53,USA,,920.0,925.0,50.0,0.1,15,1,1,SLM,model
54,EUROPE,,930.0,935.0,50.0,0.1,2,1,1,SLM,model
55,USA,,945.0,950.0,50.0,0.1,15,1,1,SLM,model
56,BRAZIL,,970.0,975.0,50.0,0.1,1,1,1,SLM,model
57,USA,,975.0,980.0,50.0,0.1,15,1,1,SLM,model
58,BRAZIL,,1005.0,1010.0,50.0,0.1,1,1,1,SLM,model
59,EUROPE,,1020.0,1025.0,50.0,0.1,2,1,1,SLM,model
60,EUROPE,,1065.0,1070.0,50.0,0.1,2,1,1,SLM,model
61,USA,,1080.0,1085.0,50.0,0.1,15,1,1,SLM,model
62,USA,,1095.0,1100.0,50.0,0.1,15,1,1,SLM,model
63,BRAZIL,,1100.0,1105.0,50.0,0.1,1,1,1,SLM,model
64,USA,,1105.0,1110.0,50.0,0.1,15,1,1,SLM,model
65,BRAZIL,,1135.0,1140.0,50.0,0.1,1,1,1,SLM,model
66,USA,,1160.0,1165.0,50.0,0.1,15,1,1,SLM,model
