task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,30.0,30.0,0.006,0.001,2,1,1,ORACLE
2,USA,,35.0,35.0,0.004,0.001,15,1,1,ORACLE
3,BRAZIL,,60.0,60.0,0.003,0.001,1,1,1,ORACLE
4,EUROPE,,75.0,75.0,0.003,0.001,2,1,1,ORACLE
5,EUROPE,,80.0,80.0,0.003,0.001,2,1,1,ORACLE
6,EUROPE,,85.0,85.0,0.003,0.001,2,1,1,ORACLE
7,EUROPE,,110.0,110.0,0.003,0.001,2,1,1,ORACLE
8,EUROPE,,130.0,130.0,0.003,0.001,2,1,1,ORACLE
9,BRAZIL,,140.0,140.0,0.003,0.001,1,1,1,ORACLE
10,EUROPE,,155.0,155.0,0.003,0.001,2,1,1,ORACLE
11,EUROPE,,165.0,165.0,0.003,0.001,2,1,1,ORACLE
12,USA,falha_calibracao_sensor_termico,190.0,190.0,0.003,0.001,15,1,0,ORACLE
13,EUROPE,,220.0,220.0,0.003,0.001,2,1,1,ORACLE
14,USA,,235.0,235.0,0.003,0.001,15,1,1,ORACLE
15,EUROPE,,245.0,245.0,0.003,0.001,2,1,1,ORACLE
16,EUROPE,,250.0,250.0,0.006,0.001,2,1,1,ORACLE
17,BRAZIL,,275.0,275.0,0.003,0.001,1,1,1,ORACLE
18,EUROPE,,280.0,280.0,0.003,0.001,2,1,1,ORACLE
19,USA,,375.0,375.0,0.003,0.001,15,1,1,ORACLE
20,BRAZIL,,385.0,385.0,0.003,0.001,1,1,1,ORACLE
21,BRAZIL,,425.0,425.0,0.003,0.001,1,1,1,ORACLE
22,BRAZIL,falha_bateria_celula_critica,440.0,440.0,0.003,0.001,1,1,0,ORACLE
23,BRAZIL,,450.0,450.0,0.003,0.001,1,1,1,ORACLE
24,BRAZIL,,480.0,480.0,0.003,0.001,1,1,1,ORACLE
25,BRAZIL,,485.0,485.0,0.003,0.001,1,1,1,ORACLE
26,BRAZIL,restricao_residencia_dados_ue,490.0,490.0,0.003,0.001,1,1,0,ORACLE
27,EUROPE,,525.0,525.0,0.003,0.001,2,1,1,ORACLE
28,EUROPE,,535.0,535.0,0.006,0.001,2,1,1,ORACLE
29,EUROPE,,565.0,565.0,0.003,0.001,2,1,1,ORACLE
30,EUROPE,,580.0,580.0,0.003,0.001,2,1,1,ORACLE
31,EUROPE,,590.0,590.0,0.003,0.001,2,1,1,ORACLE
32,EUROPE,restricao_lgpd_brasil,630.0,630.0,0.003,0.001,2,1,0,ORACLE
33,USA,,635.0,635.0,0.003,0.001,15,1,1,ORACLE
34,BRAZIL,,640.0,640.0,0.003,0.001,1,1,1,ORACLE
35,USA,,660.0,660.0,0.003,0.001,15,1,1,ORACLE
36,BRAZIL,,670.0,670.0,0.003,0.001,1,1,1,ORACLE
37,BRAZIL,,700.0,700.0,0.003,0.001,1,1,1,ORACLE
38,EUROPE,,720.0,720.0,0.003,0.001,2,1,1,ORACLE
39,BRAZIL,,725.0,725.0,0.003,0.001,1,1,1,ORACLE
40,BRAZIL,restricao_residencia_dados_ue,755.0,755.0,0.003,0.001,1,1,0,ORACLE
41,BRAZIL,,760.0,760.0,0.003,0.001,1,1,1,ORACLE
42,BRAZIL,,765.0,765.0,0.003,0.001,1,1,1,ORACLE
43,EUROPE,falha_bateria_celula_critica,790.0,790.0,0.003,0.001,2,1,0,ORACLE
44,EUROPE,restricao_residencia_dados_ue,805.0,805.0,0.003,0.001,2,1,1,ORACLE
45,USA,,825.0,825.0,0.003,0.001,15,1,1,ORACLE
46,BRAZIL,,840.0,840.0,0.003,0.001,1,1,1,ORACLE
47,BRAZIL,,910.0,910.0,0.003,0.001,1,1,1,ORACLE
48,EUROPE,,930.0,930.0,0.003,0.001,2,1,1,ORACLE
49,EUROPE,,935.0,935.0,0.003,0.001,2,1,1,ORACLE
50,EUROPE,,940.0,940.0,0.003,0.001,2,1,1,ORACLE
51,BRAZIL,,950.0,950.0,0.003,0.001,1,1,1,ORACLE
52,BRAZIL,,960.0,960.0,0.003,0.001,1,1,1,ORACLE
53,USA,,970.0,970.0,0.003,0.001,15,1,1,ORACLE
54,USA,,980.0,980.0,0.003,0.001,15,1,1,ORACLE
55,USA,falha_calibracao_sensor_termico,985.0,985.0,0.003,0.001,15,1,0,ORACLE
56,EUROPE,,990.0,990.0,0.003,0.001,2,1,1,ORACLE
57,EUROPE,,995.0,995.0,0.003,0.001,2,1,1,ORACLE
58,EUROPE,,1010.0,1010.0,0.003,0.001,2,1,1,ORACLE
59,EUROPE,,1045.0,1045.0,0.003,0.001,2,1,1,ORACLE
60,EUROPE,,1055.0,1055.0,0.003,0.001,2,1,1,ORACLE
61,USA,,1060.0,1060.0,0.003,0.001,15,1,1,ORACLE
62,BRAZIL,,1065.0,1065.0,0.003,0.001,1,1,1,ORACLE
63,EUROPE,,1085.0,1085.0,0.003,0.001,2,1,1,ORACLE
64,EUROPE,,1090.0,1090.0,0.003,0.001,2,1,1,ORACLE
65,EUROPE,,1115.0,1115.0,0.003,0.001,2,1,1,ORACLE
66,EUROPE,,1120.0,1120.0,0.003,0.001,2,1,1,ORACLE
67,EUROPE,,1155.0,1155.0,0.003,0.001,2,1,1,ORACLE
68,BRAZIL,,1160.0,1160.0,0.003,0.001,1,1,1,ORACLE
69,BRAZIL,,1190.0,1190.0,0.003,0.001,1,1,1,ORACLE
