task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,5.0,5.0,1.133,0.001,2,1,1,DRL_ONEHOT
2,BRAZIL,,35.0,35.0,0.611,0.001,1,1,1,DRL_ONEHOT
3,BRAZIL,,40.0,40.0,0.526,0.001,1,1,1,DRL_ONEHOT
4,USA,,45.0,45.0,0.489,0.001,15,1,1,DRL_ONEHOT
5,USA,,55.0,55.0,0.487,0.001,15,1,1,DRL_ONEHOT
6,BRAZIL,,70.0,70.0,0.508,0.001,1,1,1,DRL_ONEHOT
7,EUROPE,,75.0,75.0,0.474,0.001,2,1,1,DRL_ONEHOT
8,EUROPE,,100.0,100.0,0.545,0.001,2,1,1,DRL_ONEHOT
9,EUROPE,,145.0,145.0,0.547,0.001,2,1,1,DRL_ONEHOT
10,USA,,175.0,175.0,0.548,0.001,15,1,1,DRL_ONEHOT
11,USA,,190.0,190.0,0.544,0.001,15,1,1,DRL_ONEHOT
12,BRAZIL,,200.0,200.0,0.588,0.001,1,1,1,DRL_ONEHOT
13,EUROPE,,230.0,230.0,0.535,0.001,2,1,1,DRL_ONEHOT
14,USA,,250.0,250.0,0.59,0.001,15,1,1,DRL_ONEHOT
15,EUROPE,,255.0,255.0,0.552,0.001,2,1,1,DRL_ONEHOT
16,BRAZIL,,260.0,260.0,0.587,0.001,1,1,1,DRL_ONEHOT
17,USA,,265.0,265.0,0.54,0.001,15,1,1,DRL_ONEHOT
18,BRAZIL,,275.0,275.0,0.558,0.001,1,1,1,DRL_ONEHOT
19,BRAZIL,,280.0,280.0,0.527,0.001,1,1,1,DRL_ONEHOT
20,BRAZIL,,290.0,290.0,0.531,0.001,1,1,1,DRL_ONEHOT
21,USA,,340.0,340.0,0.656,0.001,15,1,1,DRL_ONEHOT
22,BRAZIL,,385.0,385.0,0.656,0.001,1,1,1,DRL_ONEHOT
23,EUROPE,,410.0,410.0,0.571,0.001,2,1,1,DRL_ONEHOT
24,USA,,415.0,415.0,0.497,0.001,15,1,1,DRL_ONEHOT
25,EUROPE,,450.0,450.0,0.531,0.001,2,1,1,DRL_ONEHOT
26,USA,,480.0,480.0,0.552,0.001,15,1,1,DRL_ONEHOT
27,EUROPE,,485.0,485.0,0.523,0.001,2,1,1,DRL_ONEHOT
28,BRAZIL,,505.0,505.0,0.544,0.001,1,1,1,DRL_ONEHOT
29,USA,,520.0,520.0,0.542,0.001,15,1,1,DRL_ONEHOT
30,USA,,540.0,540.0,0.599,0.001,15,1,1,DRL_ONEHOT
31,EUROPE,,545.0,545.0,0.545,0.001,2,1,1,DRL_ONEHOT
32,BRAZIL,,550.0,550.0,0.567,0.001,1,1,1,DRL_ONEHOT
33,USA,falha_bateria_celula_critica,565.0,565.0,0.573,0.001,2,1,0,DRL_ONEHOT
34,USA,,595.0,595.0,0.559,0.001,15,1,1,DRL_ONEHOT
35,BRAZIL,,600.0,600.0,0.491,0.001,1,1,1,DRL_ONEHOT
36,USA,,640.0,640.0,0.585,0.001,15,1,1,DRL_ONEHOT
37,USA,,685.0,685.0,0.603,0.001,15,1,1,DRL_ONEHOT
38,BRAZIL,,690.0,690.0,0.515,0.001,1,1,1,DRL_ONEHOT
39,USA,,705.0,705.0,0.583,0.001,15,1,1,DRL_ONEHOT
40,BRAZIL,,710.0,710.0,0.553,0.001,1,1,1,DRL_ONEHOT
41,EUROPE,,720.0,720.0,0.67,0.001,2,1,1,DRL_ONEHOT
42,USA,,725.0,725.0,0.534,0.001,15,1,1,DRL_ONEHOT
43,USA,,730.0,730.0,0.549,0.001,15,1,1,DRL_ONEHOT
44,USA,,755.0,755.0,0.585,0.001,15,1,1,DRL_ONEHOT
45,USA,,775.0,775.0,0.57,0.001,15,1,1,DRL_ONEHOT
46,BRAZIL,restricao_residencia_dados_ue,785.0,785.0,0.556,0.001,,0,0,DRL_ONEHOT
47,BRAZIL,,805.0,805.0,0.585,0.001,1,1,1,DRL_ONEHOT
48,USA,restricao_lgpd_brasil,880.0,880.0,0.613,0.001,2,1,0,DRL_ONEHOT
49,BRAZIL,,890.0,890.0,0.92,0.001,1,1,1,DRL_ONEHOT
50,EUROPE,,895.0,895.0,0.506,0.001,2,1,1,DRL_ONEHOT
51,USA,restricao_hipaa_eua,905.0,905.0,0.496,0.001,2,1,0,DRL_ONEHOT
52,USA,,910.0,910.0,0.515,0.001,15,1,1,DRL_ONEHOT
53,USA,,925.0,925.0,0.681,0.001,15,1,1,DRL_ONEHOT
54,EUROPE,restricao_hipaa_eua,935.0,935.0,0.558,0.001,2,1,0,DRL_ONEHOT
55,USA,,970.0,970.0,0.623,0.001,15,1,1,DRL_ONEHOT
56,BRAZIL,,975.0,975.0,0.62,0.001,1,1,1,DRL_ONEHOT
57,USA,,980.0,980.0,0.568,0.001,15,1,1,DRL_ONEHOT
58,EUROPE,,990.0,990.0,0.599,0.001,2,1,1,DRL_ONEHOT
59,EUROPE,,1010.0,1010.0,0.608,0.001,2,1,1,DRL_ONEHOT
60,EUROPE,,1025.0,1025.0,0.573,0.001,2,1,1,DRL_ONEHOT
61,USA,,1040.0,1040.0,1.406,0.001,15,1,1,DRL_ONEHOT
62,BRAZIL,,1075.0,1075.0,0.607,0.001,1,1,1,DRL_ONEHOT
63,EUROPE,,1090.0,1090.0,0.722,0.001,2,1,1,DRL_ONEHOT
64,EUROPE,,1100.0,1100.0,0.66,0.001,2,1,1,DRL_ONEHOT
65,BRAZIL,falha_calibracao_sensor_termico,1105.0,1105.0,0.571,0.001,,0,1,DRL_ONEHOT
66,USA,,1110.0,1110.0,0.569,0.001,15,1,1,DRL_ONEHOT
67,USA,,1115.0,1115.0,0.591,0.001,15,1,1,DRL_ONEHOT
68,EUROPE,,1120.0,1120.0,0.546,0.001,2,1,1,DRL_ONEHOT
69,EUROPE,restricao_residencia_dados_ue,1140.0,1140.0,0.528,0.001,2,1,1,DRL_ONEHOT
70,EUROPE,,1150.0,1150.0,0.613,0.001,2,1,1,DRL_ONEHOT
71,EUROPE,,1155.0,1155.0,0.564,0.001,2,1,1,DRL_ONEHOT
72,BRAZIL,,1160.0,1160.0,0.708,0.001,1,1,1,DRL_ONEHOT
73,EUROPE,,1170.0,1170.0,0.588,0.001,2,1,1,DRL_ONEHOT
