task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,5.0,5.0,20382.54,5.0,2,1,1,LLM
2,USA,,10.0,10.0,1353.901,5.0,15,1,1,LLM
3,EUROPE,restricao_residencia_dados_ue,30.0,30.0,14996.749,5.0,2,1,1,LLM
4,USA,,65.0,65.0,21504.992,5.0,15,1,1,LLM
5,EUROPE,,90.0,90.0,2233.857,5.0,2,1,1,LLM
6,USA,,115.0,115.0,3627.56,5.0,15,1,1,LLM
7,BRAZIL,,125.0,125.0,2535.257,5.0,1,1,1,LLM
8,EUROPE,,130.0,130.0,3184.17,5.0,2,1,1,LLM
9,EUROPE,,185.0,185.0,3205.394,5.0,2,1,1,LLM
10,EUROPE,,210.0,210.0,3026.893,5.0,2,1,1,LLM
11,EUROPE,,220.0,220.0,15834.621,5.0,2,1,1,LLM
12,EUROPE,,270.0,270.0,2809.888,5.0,2,1,1,LLM
13,EUROPE,,310.0,310.0,3493.479,5.0,2,1,1,LLM
14,EUROPE,,325.0,325.0,4202.954,5.0,2,1,1,LLM
15,EUROPE,,350.0,350.0,19454.781,5.0,2,1,1,LLM
16,EUROPE,,365.0,365.0,2114.632,5.0,2,1,1,LLM
17,BRAZIL,,405.0,405.0,2704.339,5.0,1,1,1,LLM
18,USA,,460.0,460.0,65226.467,5.0,15,1,1,LLM
19,EUROPE,,470.0,470.0,2049.557,5.0,2,1,1,LLM
20,USA,,495.0,495.0,1415.491,5.0,15,1,1,LLM
21,EUROPE,,505.0,505.0,54192.236,5.0,,0,1,LLM
22,BRAZIL,,530.0,530.0,18122.645,5.0,1,1,1,LLM
23,BRAZIL,,535.0,535.0,7169.904,5.0,1,1,1,LLM
24,EUROPE,,545.0,545.0,1610.43,5.0,2,1,1,LLM
25,EUROPE,,555.0,555.0,62603.995,5.0,2,1,1,LLM
26,USA,,570.0,570.0,2460.352,5.0,15,1,1,LLM
27,BRAZIL,,575.0,575.0,57236.693,5.0,,0,1,LLM
28,USA,,615.0,615.0,2151.855,5.0,15,1,1,LLM
29,EUROPE,,625.0,625.0,5174.934,5.0,2,1,1,LLM
30,USA,,665.0,665.0,3063.019,5.0,15,1,1,LLM
31,USA,,685.0,685.0,3959.781,5.0,15,1,1,LLM
32,EUROPE,,735.0,735.0,20520.935,5.0,2,1,1,LLM
33,EUROPE,,740.0,740.0,11125.897,5.0,2,1,1,LLM
34,USA,,785.0,785.0,11384.481,5.0,15,1,1,LLM
35,EUROPE,,800.0,800.0,2069.581,5.0,2,1,1,LLM
36,USA,restricao_lgpd_brasil,830.0,830.0,45826.318,5.0,1,1,1,LLM
37,USA,,845.0,845.0,28611.505,5.0,15,1,1,LLM
38,BRAZIL,,850.0,850.0,16569.595,5.0,1,1,1,LLM
39,EUROPE,,865.0,865.0,7988.276,5.0,2,1,1,LLM
40,EUROPE,,890.0,890.0,2965.936,5.0,2,1,1,LLM
41,EUROPE,restricao_residencia_dados_ue,920.0,920.0,9539.883,5.0,2,1,1,LLM
42,EUROPE,,930.0,930.0,31731.402,5.0,,0,1,LLM
43,EUROPE,,935.0,935.0,43673.824,5.0,2,1,1,LLM
44,BRAZIL,,945.0,945.0,28242.715,5.0,1,1,1,LLM
45,USA,,995.0,995.0,53962.798,5.0,,0,1,LLM
46,EUROPE,,1005.0,1005.0,2845.777,5.0,2,1,1,LLM
47,BRAZIL,,1010.0,1010.0,62064.505,5.0,1,1,1,LLM
48,BRAZIL,,1035.0,1035.0,1734.932,5.0,1,1,1,LLM
49,EUROPE,,1055.0,1055.0,9011.914,5.0,2,1,1,LLM
50,EUROPE,,1065.0,1065.0,61751.188,5.0,2,1,1,LLM
51,BRAZIL,,1075.0,1075.0,2767.93,5.0,1,1,1,LLM
52,USA,,1085.0,1085.0,2458.717,5.0,15,1,1,LLM
53,EUROPE,,1115.0,1115.0,3078.771,5.0,2,1,1,LLM
54,USA,,1135.0,1135.0,2146.645,5.0,15,1,1,LLM
55,EUROPE,,1140.0,1140.0,12963.334,5.0,2,1,1,LLM
56,USA,,1160.0,1160.0,45819.249,5.0,15,1,1,LLM
57,BRAZIL,restricao_residencia_dados_ue,1165.0,1165.0,23256.208,5.0,2,1,1,LLM
58,BRAZIL,,1195.0,1195.0,2452.027,5.0,1,1,1,LLM
