task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,restricao_residencia_dados_ue,50.0,55.0,50.0,0.1,2,1,1,SLM
2,BRAZIL,,60.0,65.0,50.0,0.1,1,1,1,SLM
3,BRAZIL,,90.0,95.0,50.0,0.1,1,1,1,SLM
4,EUROPE,,95.0,100.0,50.0,0.1,2,1,1,SLM
5,EUROPE,,115.0,120.0,50.0,0.1,2,1,1,SLM
6,USA,,130.0,135.0,50.0,0.1,15,1,1,SLM
7,EUROPE,,145.0,150.0,50.0,0.1,2,1,1,SLM
8,EUROPE,,155.0,160.0,50.0,0.1,2,1,1,SLM
9,EUROPE,,165.0,170.0,50.0,0.1,2,1,1,SLM
10,BRAZIL,,170.0,175.0,50.0,0.1,1,1,1,SLM
11,USA,,175.0,180.0,50.0,0.1,15,1,1,SLM
12,USA,,190.0,195.0,50.0,0.1,15,1,1,SLM
13,USA,,200.0,205.0,50.0,0.1,15,1,1,SLM
14,USA,,240.0,245.0,50.0,0.1,15,1,1,SLM
15,EUROPE,,250.0,255.0,50.0,0.1,2,1,1,SLM
16,USA,,300.0,305.0,50.0,0.1,15,1,1,SLM
17,BRAZIL,,320.0,325.0,50.0,0.1,1,1,1,SLM
18,USA,,335.0,340.0,50.0,0.1,15,1,1,SLM
19,USA,,355.0,360.0,50.0,0.1,15,1,1,SLM
20,EUROPE,,365.0,370.0,50.0,0.1,2,1,1,SLM
21,USA,,375.0,380.0,50.0,0.1,15,1,1,SLM
22,EUROPE,,405.0,410.0,50.0,0.1,2,1,1,SLM
23,EUROPE,,420.0,425.0,50.0,0.1,2,1,1,SLM
24,EUROPE,,430.0,435.0,50.0,0.1,2,1,1,SLM
25,USA,,445.0,450.0,50.0,0.1,15,1,1,SLM
26,EUROPE,,455.0,460.0,50.0,0.1,2,1,1,SLM
27,EUROPE,,465.0,470.0,50.0,0.1,2,1,1,SLM
28,USA,restricao_hipaa_eua,490.0,495.0,50.0,0.1,,0,0,SLM
29,BRAZIL,,580.0,585.0,50.0,0.1,1,1,1,SLM
30,USA,,585.0,590.0,50.0,0.1,15,1,1,SLM
31,EUROPE,,625.0,630.0,50.0,0.1,2,1,1,SLM
32,EUROPE,,630.0,635.0,50.0,0.1,2,1,1,SLM
33,EUROPE,,635.0,640.0,50.0,0.1,2,1,1,SLM
34,USA,,640.0,645.0,50.0,0.1,15,1,1,SLM
35,BRAZIL,restricao_residencia_dados_ue,645.0,650.0,50.0,0.1,,0,0,SLM
36,BRAZIL,,665.0,670.0,50.0,0.1,1,1,1,SLM
37,BRAZIL,,695.0,700.0,50.0,0.1,1,1,1,SLM
38,USA,restricao_hipaa_eua,715.0,720.0,50.0,0.1,15,1,1,SLM
39,BRAZIL,,720.0,725.0,50.0,0.1,1,1,1,SLM
40,EUROPE,,735.0,740.0,50.0,0.1,2,1,1,SLM
41,BRAZIL,,745.0,750.0,50.0,0.1,1,1,1,SLM
42,EUROPE,,770.0,775.0,50.0,0.1,2,1,1,SLM
43,EUROPE,,795.0,800.0,50.0,0.1,2,1,1,SLM
44,BRAZIL,,805.0,810.0,50.0,0.1,1,1,1,SLM
45,BRAZIL,,815.0,820.0,50.0,0.1,1,1,1,SLM
46,BRAZIL,,850.0,855.0,50.0,0.1,1,1,1,SLM
47,USA,,860.0,865.0,50.0,0.1,15,1,1,SLM
48,BRAZIL,,910.0,915.0,50.0,0.1,1,1,1,SLM
49,BRAZIL,,920.0,925.0,50.0,0.1,1,1,1,SLM
50,BRAZIL,restricao_hipaa_eua,925.0,930.0,50.0,0.1,,0,0,SLM
51,USA,,930.0,935.0,50.0,0.1,15,1,1,SLM
52,EUROPE,restricao_hipaa_eua,970.0,975.0,50.0,0.1,2,1,0,SLM
53,USA,,975.0,980.0,50.0,0.1,15,1,1,SLM
54,USA,,990.0,995.0,50.0,0.1,15,1,1,SLM
55,BRAZIL,,1010.0,1015.0,50.0,0.1,1,1,1,SLM
56,BRAZIL,falha_bateria_celula_critica,1025.0,1030.0,50.0,0.1,,0,1,SLM
57,USA,restricao_residencia_dados_ue,1030.0,1035.0,50.0,0.1,,0,0,SLM
58,BRAZIL,,1035.0,1040.0,50.0,0.1,1,1,1,SLM
59,USA,,1040.0,1045.0,50.0,0.1,15,1,1,SLM
60,USA,,1050.0,1055.0,50.0,0.1,15,1,1,SLM
61,EUROPE,,1090.0,1095.0,50.0,0.1,2,1,1,SLM
62,USA,,1100.0,1105.0,50.0,0.1,15,1,1,SLM
63,USA,,1105.0,1110.0,50.0,0.1,15,1,1,SLM
64,BRAZIL,,1110.0,1115.0,50.0,0.1,1,1,1,SLM
65,USA,,1120.0,1125.0,50.0,0.1,15,1,1,SLM
66,BRAZIL,,1135.0,1140.0,50.0,0.1,1,1,1,SLM
67,BRAZIL,,1145.0,1150.0,50.0,0.1,1,1,1,SLM
68,BRAZIL,,1150.0,1155.0,50.0,0.1,1,1,1,SLM
69,BRAZIL,,1170.0,1175.0,50.0,0.1,1,1,1,SLM
70,USA,,1180.0,1185.0,50.0,0.1,15,1,1,SLM
