task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine,decision_source
1,EUROPE,,30.0,30.0,172201.164,5.0,2,1,1,LLM,model
2,USA,,35.0,35.0,193493.823,5.0,15,1,1,LLM,model
3,BRAZIL,,60.0,60.0,176647.275,5.0,1,1,1,LLM,model
4,EUROPE,,75.0,75.0,4607.882,5.0,2,1,1,LLM,model
5,EUROPE,,80.0,80.0,28362.636,5.0,2,1,1,LLM,model
6,EUROPE,,85.0,85.0,331690.617,5.0,2,1,1,LLM,model
7,EUROPE,,110.0,110.0,13639.591,5.0,2,1,1,LLM,model
8,EUROPE,,130.0,130.0,28144.975,5.0,2,1,1,LLM,model
9,BRAZIL,,140.0,140.0,5532.332,5.0,1,1,1,LLM,model
10,EUROPE,,155.0,155.0,406057.865,5.0,,0,1,LLM,api_failure
11,EUROPE,,165.0,165.0,162417.757,5.0,2,1,1,LLM,model
12,USA,falha_calibracao_sensor_termico,190.0,190.0,71741.867,5.0,,0,1,LLM,model
13,EUROPE,,220.0,220.0,28877.26,5.0,2,1,1,LLM,model
14,USA,,235.0,235.0,39945.563,5.0,15,1,1,LLM,model
15,EUROPE,,245.0,245.0,83863.882,5.0,2,1,1,LLM,model
16,EUROPE,,250.0,250.0,183672.629,5.0,2,1,1,LLM,model
17,BRAZIL,,275.0,275.0,19660.574,5.0,1,1,1,LLM,model
18,EUROPE,,280.0,280.0,2869.606,5.0,2,1,1,LLM,model
19,USA,,375.0,375.0,175593.238,5.0,15,1,1,LLM,model
20,BRAZIL,,385.0,385.0,19049.48,5.0,1,1,1,LLM,model
21,BRAZIL,,425.0,425.0,196893.163,5.0,1,1,1,LLM,model
22,BRAZIL,falha_bateria_celula_critica,440.0,440.0,89082.678,5.0,,0,1,LLM,model
23,BRAZIL,,450.0,450.0,6452.863,5.0,1,1,1,LLM,model
24,BRAZIL,,480.0,480.0,23346.986,5.0,1,1,1,LLM,model
25,BRAZIL,,485.0,485.0,26113.463,5.0,1,1,1,LLM,model
26,BRAZIL,restricao_residencia_dados_ue,490.0,490.0,3073.017,5.0,2,1,1,LLM,model
27,EUROPE,,525.0,525.0,29232.269,5.0,2,1,1,LLM,model
28,EUROPE,,535.0,535.0,31286.714,5.0,2,1,1,LLM,model
29,EUROPE,,565.0,565.0,261422.637,5.0,2,1,1,LLM,model
30,EUROPE,,580.0,580.0,399466.545,5.0,,0,1,LLM,api_failure
31,EUROPE,,590.0,590.0,11310.485,5.0,2,1,1,LLM,model
32,EUROPE,restricao_lgpd_brasil,630.0,630.0,15799.539,5.0,1,1,1,LLM,model
33,USA,,635.0,635.0,16385.945,5.0,15,1,1,LLM,model
34,BRAZIL,,640.0,640.0,3760.453,5.0,1,1,1,LLM,model
35,USA,,660.0,660.0,13251.615,5.0,15,1,1,LLM,model
36,BRAZIL,,670.0,670.0,14330.241,5.0,1,1,1,LLM,model
37,BRAZIL,,700.0,700.0,28306.155,5.0,1,1,1,LLM,model
38,EUROPE,,720.0,720.0,11021.405,5.0,2,1,1,LLM,model
39,BRAZIL,,725.0,725.0,6096.24,5.0,1,1,1,LLM,model
40,BRAZIL,restricao_residencia_dados_ue,755.0,755.0,2505.608,5.0,2,1,1,LLM,model
41,BRAZIL,,760.0,760.0,1537.104,5.0,1,1,1,LLM,model
42,BRAZIL,,765.0,765.0,45497.86,5.0,1,1,1,LLM,model
43,EUROPE,falha_bateria_celula_critica,790.0,790.0,21785.503,5.0,,0,1,LLM,model
