task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine,decision_source
1,BRAZIL,,10.0,15.0,50.0,0.1,1,1,1,SLM,model
2,USA,,15.0,20.0,50.0,0.1,15,1,1,SLM,model
3,USA,falha_bateria_celula_critica,20.0,25.0,50.0,0.1,,0,1,SLM,model
4,BRAZIL,,30.0,35.0,50.0,0.1,1,1,1,SLM,model
5,USA,,35.0,40.0,50.0,0.1,15,1,1,SLM,model
6,USA,restricao_lgpd_brasil,50.0,55.0,50.0,0.1,15,1,0,SLM,model
7,EUROPE,restricao_hipaa_eua,60.0,65.0,50.0,0.1,2,1,0,SLM,model
8,BRAZIL,,70.0,75.0,50.0,0.1,1,1,1,SLM,model
9,EUROPE,,80.0,85.0,50.0,0.1,2,1,1,SLM,model
10,USA,,95.0,100.0,50.0,0.1,15,1,1,SLM,model
11,BRAZIL,restricao_hipaa_eua,110.0,115.0,50.0,0.1,1,1,0,SLM,model
12,USA,,125.0,130.0,50.0,0.1,15,1,1,SLM,model
13,EUROPE,,135.0,140.0,50.0,0.1,2,1,1,SLM,model
14,BRAZIL,,140.0,145.0,50.0,0.1,1,1,1,SLM,model
15,BRAZIL,,145.0,150.0,50.0,0.1,1,1,1,SLM,model
16,USA,,155.0,160.0,50.0,0.1,15,1,1,SLM,model
17,USA,,160.0,165.0,50.0,0.1,15,1,1,SLM,model
18,EUROPE,,170.0,175.0,50.0,0.1,2,1,1,SLM,model
19,BRAZIL,,220.0,225.0,50.0,0.1,1,1,1,SLM,model
20,EUROPE,,245.0,250.0,50.0,0.1,2,1,1,SLM,model
21,USA,,255.0,260.0,50.0,0.1,15,1,1,SLM,model
22,BRAZIL,,260.0,265.0,50.0,0.1,1,1,1,SLM,model
23,BRAZIL,,280.0,285.0,50.0,0.1,1,1,1,SLM,model
24,USA,,290.0,295.0,50.0,0.1,15,1,1,SLM,model
25,EUROPE,,300.0,305.0,50.0,0.1,2,1,1,SLM,model
26,EUROPE,,310.0,315.0,50.0,0.1,2,1,1,SLM,model
27,USA,,325.0,330.0,50.0,0.1,15,1,1,SLM,model
