task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,USA,,10.0,10.0,0.634,0.005,15,1,1,DRL
2,USA,,20.0,20.0,0.22,0.005,15,1,1,DRL
3,USA,,25.0,25.0,0.223,0.005,15,1,1,DRL
4,BRAZIL,,50.0,50.0,0.205,0.005,1,1,1,DRL
5,EUROPE,,55.0,55.0,0.313,0.005,2,1,1,DRL
6,EUROPE,,60.0,60.0,0.371,0.005,2,1,1,DRL
7,USA,,80.0,80.0,0.218,0.005,15,1,1,DRL
8,USA,restricao_gdpr_europa,85.0,85.0,0.239,0.005,,0,0,DRL
9,USA,,120.0,120.0,0.202,0.005,15,1,1,DRL
10,USA,,130.0,130.0,0.192,0.005,15,1,1,DRL
11,BRAZIL,restricao_gdpr_europa,135.0,135.0,0.21,0.005,,0,0,DRL
12,BRAZIL,,145.0,145.0,0.212,0.005,1,1,1,DRL
13,EUROPE,,230.0,230.0,0.207,0.005,2,1,1,DRL
14,BRAZIL,,240.0,240.0,0.193,0.005,1,1,1,DRL
15,EUROPE,,245.0,245.0,0.194,0.005,2,1,1,DRL
16,USA,,275.0,275.0,0.2,0.005,15,1,1,DRL
17,BRAZIL,,305.0,305.0,0.195,0.005,1,1,1,DRL
18,USA,,345.0,345.0,0.217,0.005,15,1,1,DRL
19,BRAZIL,,355.0,355.0,0.258,0.005,1,1,1,DRL
20,BRAZIL,restricao_soberania_brasil,380.0,380.0,0.201,0.005,,0,0,DRL
21,USA,,385.0,385.0,0.24,0.005,15,1,1,DRL
22,EUROPE,restricao_soberania_brasil,390.0,390.0,0.214,0.005,,0,0,DRL
23,BRAZIL,,415.0,415.0,0.213,0.005,1,1,1,DRL
24,BRAZIL,,425.0,425.0,0.194,0.005,1,1,1,DRL
25,USA,,430.0,430.0,0.223,0.005,15,1,1,DRL
26,BRAZIL,,440.0,440.0,0.215,0.005,1,1,1,DRL
27,EUROPE,,495.0,495.0,0.198,0.005,2,1,1,DRL
28,BRAZIL,,530.0,530.0,0.199,0.005,1,1,1,DRL
29,USA,,560.0,560.0,0.261,0.005,15,1,1,DRL
30,BRAZIL,,630.0,630.0,0.201,0.005,1,1,1,DRL
31,BRAZIL,,655.0,655.0,0.203,0.005,1,1,1,DRL
32,BRAZIL,,660.0,660.0,0.198,0.005,1,1,1,DRL
33,USA,,665.0,665.0,0.227,0.005,15,1,1,DRL
34,EUROPE,,675.0,675.0,0.197,0.005,2,1,1,DRL
35,EUROPE,,690.0,690.0,0.194,0.005,2,1,1,DRL
36,EUROPE,,695.0,695.0,0.195,0.005,2,1,1,DRL
37,BRAZIL,,700.0,700.0,0.23,0.005,1,1,1,DRL
38,BRAZIL,,745.0,745.0,0.2,0.005,1,1,1,DRL
39,USA,,780.0,780.0,0.197,0.005,15,1,1,DRL
40,BRAZIL,,785.0,785.0,0.195,0.005,1,1,1,DRL
41,EUROPE,,790.0,790.0,0.227,0.005,2,1,1,DRL
42,USA,,820.0,820.0,0.198,0.005,15,1,1,DRL
43,EUROPE,restricao_gdpr_europa,825.0,825.0,0.192,0.005,,0,0,DRL
44,USA,,835.0,835.0,0.213,0.005,15,1,1,DRL
45,BRAZIL,,840.0,840.0,0.24,0.005,1,1,1,DRL
46,BRAZIL,,865.0,865.0,0.195,0.005,1,1,1,DRL
47,BRAZIL,,870.0,870.0,0.257,0.005,1,1,1,DRL
48,EUROPE,restricao_gdpr_europa,885.0,885.0,0.194,0.005,,0,0,DRL
49,EUROPE,,920.0,920.0,0.199,0.005,2,1,1,DRL
50,USA,,940.0,940.0,0.26,0.005,15,1,1,DRL
51,BRAZIL,,945.0,945.0,0.191,0.005,1,1,1,DRL
52,EUROPE,falha_hardware_camera_esq,965.0,965.0,0.242,0.005,,0,1,DRL
53,BRAZIL,,970.0,970.0,0.191,0.005,1,1,1,DRL
54,BRAZIL,,975.0,975.0,0.191,0.005,1,1,1,DRL
55,BRAZIL,,985.0,985.0,0.251,0.005,1,1,1,DRL
56,BRAZIL,,1010.0,1010.0,0.197,0.005,1,1,1,DRL
57,BRAZIL,,1020.0,1020.0,0.198,0.005,1,1,1,DRL
58,EUROPE,,1025.0,1025.0,0.197,0.005,2,1,1,DRL
59,USA,falha_hardware_camera_esq,1030.0,1030.0,0.19,0.005,,0,1,DRL
60,USA,,1040.0,1040.0,0.195,0.005,15,1,1,DRL
61,USA,,1045.0,1045.0,0.191,0.005,15,1,1,DRL
62,EUROPE,,1080.0,1080.0,0.203,0.005,2,1,1,DRL
63,USA,,1100.0,1100.0,0.255,0.005,15,1,1,DRL
64,BRAZIL,,1130.0,1130.0,0.195,0.005,1,1,1,DRL
65,USA,,1135.0,1135.0,0.245,0.005,15,1,1,DRL
66,EUROPE,,1140.0,1140.0,0.23,0.005,2,1,1,DRL
67,EUROPE,,1155.0,1155.0,0.247,0.005,2,1,1,DRL
68,BRAZIL,,1160.0,1160.0,0.199,0.005,1,1,1,DRL
69,BRAZIL,,1165.0,1165.0,0.193,0.005,1,1,1,DRL
70,USA,,1185.0,1185.0,0.2,0.005,15,1,1,DRL
71,EUROPE,,1195.0,1195.0,0.193,0.005,2,1,1,DRL
