task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,USA,,10.0,10.0,0.006,0.001,15,1,1,ORACLE
2,BRAZIL,,15.0,15.0,0.004,0.001,1,1,1,ORACLE
3,EUROPE,,20.0,20.0,0.018,0.001,2,1,1,ORACLE
4,USA,,35.0,35.0,0.003,0.001,15,1,1,ORACLE
5,USA,,40.0,40.0,0.003,0.001,15,1,1,ORACLE
6,BRAZIL,,80.0,80.0,0.003,0.001,1,1,1,ORACLE
7,EUROPE,,85.0,85.0,0.003,0.001,2,1,1,ORACLE
8,EUROPE,restricao_gdpr_europa,95.0,95.0,0.009,0.001,2,1,1,ORACLE
9,EUROPE,,125.0,125.0,0.003,0.001,2,1,1,ORACLE
10,USA,,195.0,195.0,0.003,0.001,15,1,1,ORACLE
11,EUROPE,,215.0,215.0,0.003,0.001,2,1,1,ORACLE
12,USA,,250.0,250.0,0.003,0.001,15,1,1,ORACLE
13,USA,,285.0,285.0,0.003,0.001,15,1,1,ORACLE
14,USA,,290.0,290.0,0.003,0.001,15,1,1,ORACLE
15,USA,,300.0,300.0,0.003,0.001,15,1,1,ORACLE
16,BRAZIL,,320.0,320.0,0.003,0.001,1,1,1,ORACLE
17,BRAZIL,,345.0,345.0,0.003,0.001,1,1,1,ORACLE
18,USA,,380.0,380.0,0.003,0.001,15,1,1,ORACLE
19,USA,,385.0,385.0,0.003,0.001,15,1,1,ORACLE
20,EUROPE,,400.0,400.0,0.003,0.001,2,1,1,ORACLE
21,EUROPE,restricao_gdpr_europa,410.0,410.0,0.005,0.001,2,1,1,ORACLE
22,USA,,415.0,415.0,0.019,0.001,15,1,1,ORACLE
23,BRAZIL,,440.0,440.0,0.003,0.001,1,1,1,ORACLE
24,EUROPE,restricao_soberania_brasil,445.0,445.0,0.005,0.001,1,1,1,ORACLE
25,USA,,460.0,460.0,0.003,0.001,15,1,1,ORACLE
26,USA,,475.0,475.0,0.003,0.001,15,1,1,ORACLE
27,EUROPE,,485.0,485.0,0.003,0.001,2,1,1,ORACLE
28,EUROPE,,490.0,490.0,0.003,0.001,2,1,1,ORACLE
29,BRAZIL,,505.0,505.0,0.003,0.001,1,1,1,ORACLE
30,USA,,510.0,510.0,0.003,0.001,15,1,1,ORACLE
31,EUROPE,,550.0,550.0,0.003,0.001,2,1,1,ORACLE
32,USA,,575.0,575.0,0.003,0.001,15,1,1,ORACLE
33,USA,,580.0,580.0,0.003,0.001,15,1,1,ORACLE
34,EUROPE,,585.0,585.0,0.002,0.001,2,1,1,ORACLE
35,BRAZIL,,605.0,605.0,0.003,0.001,1,1,1,ORACLE
36,USA,,630.0,630.0,0.003,0.001,15,1,1,ORACLE
37,EUROPE,,640.0,640.0,0.003,0.001,2,1,1,ORACLE
38,USA,,665.0,665.0,0.003,0.001,15,1,1,ORACLE
39,USA,,670.0,670.0,0.003,0.001,15,1,1,ORACLE
40,USA,,690.0,690.0,0.003,0.001,15,1,1,ORACLE
41,USA,restricao_gdpr_europa,710.0,710.0,0.005,0.001,2,1,1,ORACLE
42,BRAZIL,,730.0,730.0,0.003,0.001,1,1,1,ORACLE
43,BRAZIL,,740.0,740.0,0.018,0.001,1,1,1,ORACLE
44,USA,,800.0,800.0,0.003,0.001,15,1,1,ORACLE
45,EUROPE,,840.0,840.0,0.003,0.001,2,1,1,ORACLE
46,USA,,850.0,850.0,0.003,0.001,15,1,1,ORACLE
47,USA,,875.0,875.0,0.003,0.001,15,1,1,ORACLE
48,EUROPE,,885.0,885.0,0.003,0.001,2,1,1,ORACLE
49,EUROPE,,890.0,890.0,0.003,0.001,2,1,1,ORACLE
50,EUROPE,,915.0,915.0,0.003,0.001,2,1,1,ORACLE
51,EUROPE,,930.0,930.0,0.003,0.001,2,1,1,ORACLE
52,USA,,935.0,935.0,0.003,0.001,15,1,1,ORACLE
53,EUROPE,,980.0,980.0,0.003,0.001,2,1,1,ORACLE
54,BRAZIL,,995.0,995.0,0.003,0.001,1,1,1,ORACLE
55,USA,,1015.0,1015.0,0.003,0.001,15,1,1,ORACLE
56,BRAZIL,,1025.0,1025.0,0.003,0.001,1,1,1,ORACLE
57,BRAZIL,,1030.0,1030.0,0.003,0.001,1,1,1,ORACLE
58,EUROPE,,1050.0,1050.0,0.003,0.001,2,1,1,ORACLE
59,USA,restricao_soberania_brasil,1095.0,1095.0,0.005,0.001,1,1,1,ORACLE
60,USA,falha_hardware_camera_esq,1110.0,1110.0,0.001,0.001,,0,1,ORACLE
61,BRAZIL,,1120.0,1120.0,0.003,0.001,1,1,1,ORACLE
62,BRAZIL,,1165.0,1165.0,0.003,0.001,1,1,1,ORACLE
63,BRAZIL,,1170.0,1170.0,0.003,0.001,1,1,1,ORACLE
64,EUROPE,,1175.0,1175.0,0.003,0.001,2,1,1,ORACLE
65,BRAZIL,,1195.0,1195.0,0.003,0.001,1,1,1,ORACLE
