task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,5.0,5.0,1.236,0.001,2,1,1,DRL_ONEHOT
2,BRAZIL,,50.0,50.0,0.603,0.001,1,1,1,DRL_ONEHOT
3,USA,,70.0,70.0,0.563,0.001,15,1,1,DRL_ONEHOT
4,USA,,90.0,90.0,0.537,0.001,15,1,1,DRL_ONEHOT
5,BRAZIL,,95.0,95.0,0.488,0.001,1,1,1,DRL_ONEHOT
6,BRAZIL,,105.0,105.0,0.497,0.001,1,1,1,DRL_ONEHOT
7,BRAZIL,,120.0,120.0,0.512,0.001,1,1,1,DRL_ONEHOT
8,BRAZIL,,140.0,140.0,0.521,0.001,1,1,1,DRL_ONEHOT
9,USA,restricao_gdpr_europa,145.0,145.0,0.495,0.001,2,1,1,DRL_ONEHOT
10,USA,,175.0,175.0,0.572,0.001,15,1,1,DRL_ONEHOT
11,EUROPE,falha_hardware_camera_esq,220.0,220.0,0.447,0.001,,0,1,DRL_ONEHOT
12,BRAZIL,,240.0,240.0,0.438,0.001,1,1,1,DRL_ONEHOT
13,BRAZIL,restricao_soberania_brasil,260.0,260.0,0.481,0.001,1,1,1,DRL_ONEHOT
14,BRAZIL,,275.0,275.0,0.439,0.001,1,1,1,DRL_ONEHOT
15,EUROPE,,280.0,280.0,0.428,0.001,2,1,1,DRL_ONEHOT
16,EUROPE,restricao_soberania_brasil,285.0,285.0,0.386,0.001,1,1,1,DRL_ONEHOT
17,BRAZIL,,290.0,290.0,0.371,0.001,1,1,1,DRL_ONEHOT
18,USA,,310.0,310.0,0.411,0.001,15,1,1,DRL_ONEHOT
19,BRAZIL,,365.0,365.0,0.472,0.001,1,1,1,DRL_ONEHOT
20,USA,,375.0,375.0,0.508,0.001,15,1,1,DRL_ONEHOT
21,BRAZIL,,405.0,405.0,0.558,0.001,1,1,1,DRL_ONEHOT
22,USA,,415.0,415.0,0.398,0.001,15,1,1,DRL_ONEHOT
23,USA,,430.0,430.0,0.385,0.001,15,1,1,DRL_ONEHOT
24,EUROPE,,440.0,440.0,0.389,0.001,2,1,1,DRL_ONEHOT
25,BRAZIL,,510.0,510.0,0.44,0.001,1,1,1,DRL_ONEHOT
26,USA,,520.0,520.0,0.332,0.001,15,1,1,DRL_ONEHOT
27,BRAZIL,,535.0,535.0,0.32,0.001,1,1,1,DRL_ONEHOT
28,BRAZIL,restricao_gdpr_europa,560.0,560.0,0.479,0.001,2,1,1,DRL_ONEHOT
29,EUROPE,,570.0,570.0,0.416,0.001,2,1,1,DRL_ONEHOT
30,EUROPE,,575.0,575.0,0.407,0.001,2,1,1,DRL_ONEHOT
31,BRAZIL,,580.0,580.0,0.308,0.001,1,1,1,DRL_ONEHOT
32,BRAZIL,,585.0,585.0,0.307,0.001,1,1,1,DRL_ONEHOT
33,BRAZIL,,590.0,590.0,0.303,0.001,1,1,1,DRL_ONEHOT
34,BRAZIL,,630.0,630.0,0.517,0.001,1,1,1,DRL_ONEHOT
35,USA,,640.0,640.0,0.463,0.001,15,1,1,DRL_ONEHOT
36,EUROPE,,685.0,685.0,0.498,0.001,2,1,1,DRL_ONEHOT
37,USA,,715.0,715.0,0.493,0.001,15,1,1,DRL_ONEHOT
38,USA,,765.0,765.0,0.392,0.001,15,1,1,DRL_ONEHOT
39,EUROPE,,775.0,775.0,0.347,0.001,2,1,1,DRL_ONEHOT
40,EUROPE,,780.0,780.0,0.407,0.001,2,1,1,DRL_ONEHOT
41,BRAZIL,,790.0,790.0,0.412,0.001,1,1,1,DRL_ONEHOT
42,EUROPE,,795.0,795.0,0.47,0.001,2,1,1,DRL_ONEHOT
43,USA,,800.0,800.0,0.505,0.001,15,1,1,DRL_ONEHOT
44,EUROPE,,810.0,810.0,0.475,0.001,2,1,1,DRL_ONEHOT
45,USA,,820.0,820.0,0.429,0.001,15,1,1,DRL_ONEHOT
46,BRAZIL,,825.0,825.0,0.396,0.001,1,1,1,DRL_ONEHOT
47,EUROPE,,830.0,830.0,0.391,0.001,2,1,1,DRL_ONEHOT
48,USA,,850.0,850.0,0.412,0.001,15,1,1,DRL_ONEHOT
49,USA,,895.0,895.0,0.457,0.001,15,1,1,DRL_ONEHOT
50,USA,,900.0,900.0,0.392,0.001,15,1,1,DRL_ONEHOT
51,EUROPE,,910.0,910.0,0.392,0.001,2,1,1,DRL_ONEHOT
52,EUROPE,,915.0,915.0,0.393,0.001,2,1,1,DRL_ONEHOT
53,BRAZIL,,930.0,930.0,0.427,0.001,1,1,1,DRL_ONEHOT
54,EUROPE,,940.0,940.0,0.41,0.001,2,1,1,DRL_ONEHOT
55,EUROPE,falha_hardware_camera_esq,970.0,970.0,0.441,0.001,,0,1,DRL_ONEHOT
56,BRAZIL,,980.0,980.0,0.412,0.001,1,1,1,DRL_ONEHOT
57,BRAZIL,,995.0,995.0,0.412,0.001,1,1,1,DRL_ONEHOT
58,USA,,1020.0,1020.0,0.433,0.001,15,1,1,DRL_ONEHOT
59,EUROPE,,1030.0,1030.0,0.403,0.001,2,1,1,DRL_ONEHOT
