task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,restricao_gdpr_europa,15.0,15.0,1.242,0.001,2,1,1,DRL_ONEHOT
2,BRAZIL,,20.0,20.0,0.557,0.001,1,1,1,DRL_ONEHOT
3,BRAZIL,,30.0,30.0,0.575,0.001,1,1,1,DRL_ONEHOT
4,EUROPE,,35.0,35.0,0.544,0.001,2,1,1,DRL_ONEHOT
5,EUROPE,,40.0,40.0,0.538,0.001,2,1,1,DRL_ONEHOT
6,USA,,45.0,45.0,0.516,0.001,15,1,1,DRL_ONEHOT
7,EUROPE,,50.0,50.0,0.505,0.001,2,1,1,DRL_ONEHOT
8,EUROPE,,55.0,55.0,0.522,0.001,2,1,1,DRL_ONEHOT
9,EUROPE,,60.0,60.0,0.532,0.001,2,1,1,DRL_ONEHOT
10,BRAZIL,,65.0,65.0,0.527,0.001,1,1,1,DRL_ONEHOT
11,USA,,70.0,70.0,0.528,0.001,15,1,1,DRL_ONEHOT
12,USA,,75.0,75.0,0.523,0.001,15,1,1,DRL_ONEHOT
13,USA,,80.0,80.0,0.526,0.001,15,1,1,DRL_ONEHOT
14,USA,,90.0,90.0,0.72,0.001,15,1,1,DRL_ONEHOT
15,EUROPE,,95.0,95.0,0.558,0.001,2,1,1,DRL_ONEHOT
16,USA,,110.0,110.0,0.561,0.001,15,1,1,DRL_ONEHOT
17,BRAZIL,,115.0,115.0,0.53,0.001,1,1,1,DRL_ONEHOT
18,USA,,120.0,120.0,0.527,0.001,15,1,1,DRL_ONEHOT
19,USA,,125.0,125.0,0.52,0.001,15,1,1,DRL_ONEHOT
20,EUROPE,,130.0,130.0,0.55,0.001,2,1,1,DRL_ONEHOT
21,USA,,135.0,135.0,0.541,0.001,15,1,1,DRL_ONEHOT
22,EUROPE,,145.0,145.0,0.534,0.001,2,1,1,DRL_ONEHOT
23,EUROPE,,150.0,150.0,0.543,0.001,2,1,1,DRL_ONEHOT
24,EUROPE,,155.0,155.0,0.547,0.001,2,1,1,DRL_ONEHOT
25,USA,,160.0,160.0,0.531,0.001,15,1,1,DRL_ONEHOT
26,EUROPE,,165.0,165.0,0.544,0.001,2,1,1,DRL_ONEHOT
27,EUROPE,,170.0,170.0,0.54,0.001,2,1,1,DRL_ONEHOT
28,USA,restricao_gdpr_europa,180.0,180.0,0.553,0.001,2,1,1,DRL_ONEHOT
29,BRAZIL,,205.0,205.0,0.575,0.001,1,1,1,DRL_ONEHOT
30,USA,,210.0,210.0,0.545,0.001,15,1,1,DRL_ONEHOT
31,EUROPE,,220.0,220.0,0.571,0.001,2,1,1,DRL_ONEHOT
32,EUROPE,,225.0,225.0,0.548,0.001,2,1,1,DRL_ONEHOT
33,EUROPE,,230.0,230.0,0.53,0.001,2,1,1,DRL_ONEHOT
34,USA,,235.0,235.0,0.522,0.001,15,1,1,DRL_ONEHOT
35,BRAZIL,restricao_gdpr_europa,240.0,240.0,0.518,0.001,2,1,1,DRL_ONEHOT
36,BRAZIL,,245.0,245.0,0.514,0.001,1,1,1,DRL_ONEHOT
37,BRAZIL,,255.0,255.0,0.543,0.001,1,1,1,DRL_ONEHOT
38,USA,restricao_gdpr_europa,260.0,260.0,0.529,0.001,2,1,1,DRL_ONEHOT
39,BRAZIL,,265.0,265.0,0.54,0.001,1,1,1,DRL_ONEHOT
40,EUROPE,,270.0,270.0,0.533,0.001,2,1,1,DRL_ONEHOT
41,BRAZIL,,275.0,275.0,0.522,0.001,1,1,1,DRL_ONEHOT
42,EUROPE,,285.0,285.0,0.534,0.001,2,1,1,DRL_ONEHOT
43,EUROPE,,295.0,295.0,0.542,0.001,2,1,1,DRL_ONEHOT
44,BRAZIL,,300.0,300.0,0.529,0.001,1,1,1,DRL_ONEHOT
45,BRAZIL,,305.0,305.0,0.528,0.001,1,1,1,DRL_ONEHOT
46,BRAZIL,,315.0,315.0,0.545,0.001,1,1,1,DRL_ONEHOT
47,USA,,320.0,320.0,0.53,0.001,15,1,1,DRL_ONEHOT
48,BRAZIL,,335.0,335.0,0.586,0.001,1,1,1,DRL_ONEHOT
49,BRAZIL,,340.0,340.0,0.539,0.001,1,1,1,DRL_ONEHOT
50,BRAZIL,restricao_gdpr_europa,345.0,345.0,0.515,0.001,2,1,1,DRL_ONEHOT
51,USA,,350.0,350.0,0.514,0.001,15,1,1,DRL_ONEHOT
52,EUROPE,restricao_gdpr_europa,360.0,360.0,0.545,0.001,2,1,1,DRL_ONEHOT
