task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,USA,,5.0,5.0,0.007,0.001,15,1,1,BASELINE
2,USA,restricao_gdpr_europa,10.0,10.0,0.003,0.001,15,1,0,BASELINE
3,USA,,20.0,20.0,0.003,0.001,15,1,1,BASELINE
4,EUROPE,,25.0,25.0,0.003,0.001,2,1,1,BASELINE
5,USA,,30.0,30.0,0.002,0.001,15,1,1,BASELINE
6,BRAZIL,,35.0,35.0,0.003,0.001,1,1,1,BASELINE
7,BRAZIL,,40.0,40.0,0.002,0.001,1,1,1,BASELINE
8,EUROPE,restricao_gdpr_europa,45.0,45.0,0.002,0.001,2,1,1,BASELINE
9,BRAZIL,,55.0,55.0,0.003,0.001,1,1,1,BASELINE
10,USA,,65.0,65.0,0.003,0.001,15,1,1,BASELINE
11,EUROPE,,70.0,70.0,0.002,0.001,2,1,1,BASELINE
12,BRAZIL,,85.0,85.0,0.002,0.001,1,1,1,BASELINE
13,USA,,90.0,90.0,0.002,0.001,15,1,1,BASELINE
14,EUROPE,,95.0,95.0,0.002,0.001,2,1,1,BASELINE
15,EUROPE,,100.0,100.0,0.002,0.001,2,1,1,BASELINE
16,USA,,105.0,105.0,0.002,0.001,15,1,1,BASELINE
17,EUROPE,restricao_soberania_brasil,110.0,110.0,0.002,0.001,2,1,0,BASELINE
18,EUROPE,,130.0,130.0,0.002,0.001,2,1,1,BASELINE
19,EUROPE,,140.0,140.0,0.002,0.001,2,1,1,BASELINE
20,EUROPE,,145.0,145.0,0.002,0.001,2,1,1,BASELINE
21,USA,,155.0,155.0,0.002,0.001,15,1,1,BASELINE
22,EUROPE,,160.0,160.0,0.002,0.001,2,1,1,BASELINE
23,EUROPE,,165.0,165.0,0.002,0.001,2,1,1,BASELINE
24,BRAZIL,,170.0,170.0,0.002,0.001,1,1,1,BASELINE
25,BRAZIL,,180.0,180.0,0.002,0.001,1,1,1,BASELINE
26,EUROPE,,185.0,185.0,0.002,0.001,2,1,1,BASELINE
27,EUROPE,,195.0,195.0,0.002,0.001,2,1,1,BASELINE
28,BRAZIL,falha_hardware_camera_esq,220.0,220.0,0.002,0.001,1,1,0,BASELINE
29,EUROPE,,225.0,225.0,0.002,0.001,2,1,1,BASELINE
30,BRAZIL,,230.0,230.0,0.002,0.001,1,1,1,BASELINE
31,USA,,245.0,245.0,0.002,0.001,15,1,1,BASELINE
32,EUROPE,,250.0,250.0,0.002,0.001,2,1,1,BASELINE
33,USA,,260.0,260.0,0.002,0.001,15,1,1,BASELINE
34,BRAZIL,,265.0,265.0,0.002,0.001,1,1,1,BASELINE
35,BRAZIL,,275.0,275.0,0.002,0.001,1,1,1,BASELINE
36,EUROPE,,280.0,280.0,0.002,0.001,2,1,1,BASELINE
37,BRAZIL,,285.0,285.0,0.002,0.001,1,1,1,BASELINE
38,EUROPE,,295.0,295.0,0.002,0.001,2,1,1,BASELINE
39,USA,,300.0,300.0,0.002,0.001,15,1,1,BASELINE
40,USA,,305.0,305.0,0.002,0.001,15,1,1,BASELINE
41,USA,,315.0,315.0,0.002,0.001,15,1,1,BASELINE
42,USA,,320.0,320.0,0.002,0.001,15,1,1,BASELINE
43,USA,,325.0,325.0,0.002,0.001,15,1,1,BASELINE
44,USA,,330.0,330.0,0.002,0.001,15,1,1,BASELINE
45,EUROPE,,335.0,335.0,0.002,0.001,2,1,1,BASELINE
46,EUROPE,,340.0,340.0,0.002,0.001,2,1,1,BASELINE
47,EUROPE,,350.0,350.0,0.002,0.001,2,1,1,BASELINE
48,USA,,355.0,355.0,0.002,0.001,15,1,1,BASELINE
49,BRAZIL,,360.0,360.0,0.002,0.001,1,1,1,BASELINE
50,BRAZIL,,365.0,365.0,0.002,0.001,1,1,1,BASELINE
51,EUROPE,,380.0,380.0,0.002,0.001,2,1,1,BASELINE
52,EUROPE,falha_hardware_camera_esq,390.0,390.0,0.002,0.001,2,1,0,BASELINE
53,EUROPE,,395.0,395.0,0.002,0.001,2,1,1,BASELINE
54,BRAZIL,,400.0,400.0,0.002,0.001,1,1,1,BASELINE
55,EUROPE,,405.0,405.0,0.002,0.001,2,1,1,BASELINE
56,BRAZIL,,410.0,410.0,0.002,0.001,1,1,1,BASELINE
57,EUROPE,,415.0,415.0,0.002,0.001,2,1,1,BASELINE
58,BRAZIL,,420.0,420.0,0.002,0.001,1,1,1,BASELINE
59,USA,,425.0,425.0,0.002,0.001,15,1,1,BASELINE
60,USA,,430.0,430.0,0.002,0.001,15,1,1,BASELINE
61,BRAZIL,,435.0,435.0,0.002,0.001,1,1,1,BASELINE
62,EUROPE,,445.0,445.0,0.002,0.001,2,1,1,BASELINE
63,EUROPE,,460.0,460.0,0.002,0.001,2,1,1,BASELINE
64,EUROPE,,470.0,470.0,0.002,0.001,2,1,1,BASELINE
65,BRAZIL,,475.0,475.0,0.002,0.001,1,1,1,BASELINE
66,BRAZIL,,480.0,480.0,0.002,0.001,1,1,1,BASELINE
67,EUROPE,falha_hardware_camera_esq,485.0,485.0,0.002,0.001,2,1,0,BASELINE
68,BRAZIL,,490.0,490.0,0.002,0.001,1,1,1,BASELINE
69,BRAZIL,,495.0,495.0,0.002,0.001,1,1,1,BASELINE
70,USA,,500.0,500.0,0.002,0.001,15,1,1,BASELINE
71,USA,falha_hardware_camera_esq,505.0,505.0,0.002,0.001,15,1,0,BASELINE
72,BRAZIL,,510.0,510.0,0.002,0.001,1,1,1,BASELINE
73,EUROPE,restricao_gdpr_europa,515.0,515.0,0.002,0.001,2,1,1,BASELINE
74,USA,,520.0,520.0,0.002,0.001,15,1,1,BASELINE
