task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,restricao_gdpr_europa,25.0,25.0,0.976,0.005,2,1,1,DRL
2,BRAZIL,,30.0,30.0,0.412,0.005,1,1,1,DRL
3,BRAZIL,,45.0,45.0,0.423,0.005,1,1,1,DRL
4,EUROPE,,50.0,50.0,0.379,0.005,2,1,1,DRL
5,EUROPE,,60.0,60.0,0.398,0.005,2,1,1,DRL
6,USA,,70.0,70.0,0.386,0.005,15,1,1,DRL
7,EUROPE,,80.0,80.0,0.391,0.005,2,1,1,DRL
8,EUROPE,,85.0,85.0,0.48,0.005,2,1,1,DRL
9,EUROPE,,90.0,90.0,0.385,0.005,2,1,1,DRL
10,BRAZIL,,95.0,95.0,0.357,0.005,1,1,1,DRL
11,USA,,100.0,100.0,0.356,0.005,15,1,1,DRL
12,USA,,110.0,110.0,0.373,0.005,15,1,1,DRL
13,USA,,115.0,115.0,0.359,0.005,15,1,1,DRL
14,USA,,135.0,135.0,0.398,0.005,15,1,1,DRL
15,EUROPE,,140.0,140.0,0.367,0.005,2,1,1,DRL
16,USA,,165.0,165.0,0.439,0.005,15,1,1,DRL
17,BRAZIL,,175.0,175.0,0.379,0.005,1,1,1,DRL
18,USA,,185.0,185.0,0.394,0.005,15,1,1,DRL
19,USA,,195.0,195.0,0.369,0.005,15,1,1,DRL
20,EUROPE,,200.0,200.0,0.368,0.005,2,1,1,DRL
21,USA,,205.0,205.0,0.376,0.005,15,1,1,DRL
22,EUROPE,,220.0,220.0,0.375,0.005,2,1,1,DRL
23,EUROPE,,230.0,230.0,0.375,0.005,2,1,1,DRL
24,EUROPE,,235.0,235.0,0.381,0.005,2,1,1,DRL
25,USA,,245.0,245.0,0.396,0.005,15,1,1,DRL
26,EUROPE,,250.0,250.0,0.361,0.005,2,1,1,DRL
27,EUROPE,,255.0,255.0,0.355,0.005,2,1,1,DRL
28,USA,restricao_gdpr_europa,270.0,270.0,0.356,0.005,,0,0,DRL
29,BRAZIL,,315.0,315.0,0.435,0.005,1,1,1,DRL
30,USA,,320.0,320.0,0.404,0.005,15,1,1,DRL
31,EUROPE,,340.0,340.0,0.411,0.005,2,1,1,DRL
32,EUROPE,,345.0,345.0,0.395,0.005,2,1,1,DRL
33,EUROPE,,350.0,350.0,0.359,0.005,2,1,1,DRL
34,USA,,355.0,355.0,0.37,0.005,15,1,1,DRL
35,BRAZIL,restricao_gdpr_europa,360.0,360.0,0.354,0.005,,0,0,DRL
36,BRAZIL,,370.0,370.0,0.421,0.005,1,1,1,DRL
37,BRAZIL,,385.0,385.0,0.397,0.005,1,1,1,DRL
38,USA,restricao_gdpr_europa,395.0,395.0,0.375,0.005,,0,0,DRL
39,BRAZIL,,400.0,400.0,0.393,0.005,1,1,1,DRL
40,EUROPE,,410.0,410.0,0.381,0.005,2,1,1,DRL
41,BRAZIL,,415.0,415.0,0.36,0.005,1,1,1,DRL
42,EUROPE,,430.0,430.0,0.402,0.005,2,1,1,DRL
43,EUROPE,,445.0,445.0,0.373,0.005,2,1,1,DRL
44,BRAZIL,,450.0,450.0,0.364,0.005,1,1,1,DRL
45,BRAZIL,,455.0,455.0,0.379,0.005,1,1,1,DRL
46,BRAZIL,,475.0,475.0,0.417,0.005,1,1,1,DRL
47,USA,,480.0,480.0,0.379,0.005,15,1,1,DRL
48,BRAZIL,,505.0,505.0,0.406,0.005,1,1,1,DRL
49,BRAZIL,,510.0,510.0,0.373,0.005,1,1,1,DRL
50,BRAZIL,restricao_gdpr_europa,515.0,515.0,0.35,0.005,,0,0,DRL
51,USA,,520.0,520.0,0.356,0.005,15,1,1,DRL
52,EUROPE,restricao_gdpr_europa,540.0,540.0,0.386,0.005,,0,0,DRL
53,USA,,545.0,545.0,0.376,0.005,15,1,1,DRL
54,USA,,555.0,555.0,0.399,0.005,15,1,1,DRL
55,BRAZIL,,565.0,565.0,0.376,0.005,1,1,1,DRL
56,BRAZIL,restricao_soberania_brasil,575.0,575.0,0.362,0.005,,0,0,DRL
57,USA,restricao_gdpr_europa,580.0,580.0,0.366,0.005,,0,0,DRL
58,BRAZIL,,585.0,585.0,0.431,0.005,1,1,1,DRL
59,USA,,590.0,590.0,0.369,0.005,15,1,1,DRL
60,USA,,595.0,595.0,0.37,0.005,15,1,1,DRL
61,EUROPE,,615.0,615.0,0.402,0.005,2,1,1,DRL
62,USA,,620.0,620.0,0.391,0.005,15,1,1,DRL
63,USA,,625.0,625.0,0.369,0.005,15,1,1,DRL
64,BRAZIL,,630.0,630.0,0.368,0.005,1,1,1,DRL
65,USA,,635.0,635.0,0.352,0.005,15,1,1,DRL
66,BRAZIL,,645.0,645.0,0.361,0.005,1,1,1,DRL
67,BRAZIL,,650.0,650.0,0.388,0.005,1,1,1,DRL
68,BRAZIL,,655.0,655.0,0.36,0.005,1,1,1,DRL
69,BRAZIL,,665.0,665.0,0.377,0.005,1,1,1,DRL
70,USA,,670.0,670.0,0.382,0.005,15,1,1,DRL
71,BRAZIL,,680.0,680.0,0.4,0.005,1,1,1,DRL
72,EUROPE,restricao_soberania_brasil,685.0,685.0,0.366,0.005,,0,0,DRL
73,USA,,690.0,690.0,0.38,0.005,15,1,1,DRL
74,EUROPE,,695.0,695.0,0.374,0.005,2,1,1,DRL
75,BRAZIL,restricao_soberania_brasil,700.0,700.0,0.349,0.005,,0,0,DRL
76,EUROPE,,710.0,710.0,0.399,0.005,2,1,1,DRL
77,USA,,715.0,715.0,0.371,0.005,15,1,1,DRL
78,USA,,725.0,725.0,0.362,0.005,15,1,1,DRL
79,EUROPE,,730.0,730.0,0.353,0.005,2,1,1,DRL
80,USA,,740.0,740.0,0.383,0.005,15,1,1,DRL
81,EUROPE,,755.0,755.0,0.402,0.005,2,1,1,DRL
82,BRAZIL,,760.0,760.0,0.387,0.005,1,1,1,DRL
83,USA,,765.0,765.0,0.362,0.005,15,1,1,DRL
84,USA,,785.0,785.0,0.395,0.005,15,1,1,DRL
85,USA,,790.0,790.0,0.366,0.005,15,1,1,DRL
86,USA,restricao_gdpr_europa,795.0,795.0,0.362,0.005,,0,0,DRL
87,EUROPE,,815.0,815.0,0.378,0.005,2,1,1,DRL
88,EUROPE,,820.0,820.0,0.366,0.005,2,1,1,DRL
89,EUROPE,,830.0,830.0,0.39,0.005,2,1,1,DRL
90,BRAZIL,,835.0,835.0,0.385,0.005,1,1,1,DRL
91,EUROPE,,870.0,870.0,0.41,0.005,2,1,1,DRL
92,BRAZIL,,875.0,875.0,0.361,0.005,1,1,1,DRL
93,BRAZIL,,880.0,880.0,0.355,0.005,1,1,1,DRL
94,EUROPE,,885.0,885.0,0.36,0.005,2,1,1,DRL
95,EUROPE,,900.0,900.0,0.399,0.005,2,1,1,DRL
96,EUROPE,,910.0,910.0,0.384,0.005,2,1,1,DRL
97,USA,restricao_soberania_brasil,925.0,925.0,0.381,0.005,,0,0,DRL
98,EUROPE,,930.0,930.0,0.38,0.005,2,1,1,DRL
99,USA,,940.0,940.0,0.366,0.005,,0,1,DRL
100,EUROPE,,945.0,945.0,0.36,0.005,2,1,1,DRL
101,EUROPE,,960.0,960.0,0.384,0.005,2,1,1,DRL
102,USA,,970.0,970.0,0.368,0.005,,0,1,DRL
103,USA,restricao_soberania_brasil,1000.0,1000.0,0.42,0.005,,0,0,DRL
