task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,30.0,30.0,0.02,0.001,2,1,1,BASELINE
2,USA,,35.0,35.0,0.015,0.001,15,1,1,BASELINE
3,BRAZIL,,60.0,60.0,0.023,0.001,1,1,1,BASELINE
4,EUROPE,,75.0,75.0,0.016,0.001,2,1,1,BASELINE
5,EUROPE,,80.0,80.0,0.013,0.001,2,1,1,BASELINE
6,EUROPE,,85.0,85.0,0.012,0.001,2,1,1,BASELINE
7,EUROPE,,110.0,110.0,0.013,0.001,2,1,1,BASELINE
8,EUROPE,,130.0,130.0,0.013,0.001,2,1,1,BASELINE
9,BRAZIL,,140.0,140.0,0.015,0.001,1,1,1,BASELINE
10,EUROPE,,155.0,155.0,0.036,0.001,2,1,1,BASELINE
11,EUROPE,,165.0,165.0,0.024,0.001,2,1,1,BASELINE
12,USA,falha_hardware_camera_esq,190.0,190.0,0.017,0.001,15,1,0,BASELINE
13,EUROPE,,220.0,220.0,0.023,0.001,2,1,1,BASELINE
14,USA,,235.0,235.0,0.012,0.001,15,1,1,BASELINE
15,EUROPE,,245.0,245.0,0.02,0.001,2,1,1,BASELINE
16,EUROPE,,250.0,250.0,0.011,0.001,2,1,1,BASELINE
17,BRAZIL,,275.0,275.0,0.012,0.001,1,1,1,BASELINE
18,EUROPE,,280.0,280.0,0.013,0.001,2,1,1,BASELINE
19,USA,,375.0,375.0,0.017,0.001,15,1,1,BASELINE
20,BRAZIL,,385.0,385.0,0.012,0.001,1,1,1,BASELINE
21,BRAZIL,,425.0,425.0,0.011,0.001,1,1,1,BASELINE
22,BRAZIL,restricao_soberania_brasil,440.0,440.0,0.022,0.001,1,1,1,BASELINE
23,BRAZIL,,450.0,450.0,0.014,0.001,1,1,1,BASELINE
24,BRAZIL,,480.0,480.0,0.018,0.001,1,1,1,BASELINE
25,BRAZIL,,485.0,485.0,0.013,0.001,1,1,1,BASELINE
26,BRAZIL,restricao_gdpr_europa,490.0,490.0,0.01,0.001,1,1,0,BASELINE
27,EUROPE,,525.0,525.0,0.017,0.001,2,1,1,BASELINE
28,EUROPE,,535.0,535.0,0.012,0.001,2,1,1,BASELINE
29,EUROPE,,565.0,565.0,0.012,0.001,2,1,1,BASELINE
30,EUROPE,,580.0,580.0,0.019,0.001,2,1,1,BASELINE
31,EUROPE,,590.0,590.0,0.015,0.001,2,1,1,BASELINE
32,EUROPE,falha_hardware_camera_esq,630.0,630.0,0.029,0.001,2,1,0,BASELINE
33,USA,,635.0,635.0,0.026,0.001,15,1,1,BASELINE
34,BRAZIL,,640.0,640.0,0.024,0.001,1,1,1,BASELINE
35,USA,,660.0,660.0,0.019,0.001,15,1,1,BASELINE
36,BRAZIL,,670.0,670.0,0.014,0.001,1,1,1,BASELINE
37,BRAZIL,,700.0,700.0,0.011,0.001,1,1,1,BASELINE
38,EUROPE,,720.0,720.0,0.009,0.001,2,1,1,BASELINE
39,BRAZIL,,725.0,725.0,0.01,0.001,1,1,1,BASELINE
40,BRAZIL,restricao_gdpr_europa,755.0,755.0,0.011,0.001,1,1,0,BASELINE
41,BRAZIL,,760.0,760.0,0.009,0.001,1,1,1,BASELINE
42,BRAZIL,,765.0,765.0,0.009,0.001,1,1,1,BASELINE
43,EUROPE,restricao_soberania_brasil,790.0,790.0,0.025,0.001,2,1,0,BASELINE
44,EUROPE,restricao_gdpr_europa,805.0,805.0,0.014,0.001,2,1,1,BASELINE
45,USA,,825.0,825.0,0.017,0.001,15,1,1,BASELINE
46,BRAZIL,,840.0,840.0,0.011,0.001,1,1,1,BASELINE
47,BRAZIL,,910.0,910.0,0.011,0.001,1,1,1,BASELINE
48,EUROPE,,930.0,930.0,0.011,0.001,2,1,1,BASELINE
49,EUROPE,,935.0,935.0,0.009,0.001,2,1,1,BASELINE
50,EUROPE,,940.0,940.0,0.008,0.001,2,1,1,BASELINE
51,BRAZIL,,950.0,950.0,0.018,0.001,1,1,1,BASELINE
52,BRAZIL,,960.0,960.0,0.012,0.001,1,1,1,BASELINE
53,USA,,970.0,970.0,0.017,0.001,15,1,1,BASELINE
54,USA,,980.0,980.0,0.01,0.001,15,1,1,BASELINE
55,USA,falha_hardware_camera_esq,985.0,985.0,0.04,0.001,15,1,0,BASELINE
56,EUROPE,,990.0,990.0,0.02,0.001,2,1,1,BASELINE
57,EUROPE,,995.0,995.0,0.019,0.001,2,1,1,BASELINE
58,EUROPE,,1010.0,1010.0,0.015,0.001,2,1,1,BASELINE
59,EUROPE,,1045.0,1045.0,0.013,0.001,2,1,1,BASELINE
60,EUROPE,,1055.0,1055.0,0.009,0.001,2,1,1,BASELINE
61,USA,,1060.0,1060.0,0.009,0.001,15,1,1,BASELINE
62,BRAZIL,,1065.0,1065.0,0.01,0.001,1,1,1,BASELINE
63,EUROPE,,1085.0,1085.0,0.011,0.001,2,1,1,BASELINE
64,EUROPE,,1090.0,1090.0,0.01,0.001,2,1,1,BASELINE
65,EUROPE,,1115.0,1115.0,0.015,0.001,2,1,1,BASELINE
66,EUROPE,,1120.0,1120.0,0.01,0.001,2,1,1,BASELINE
67,EUROPE,,1155.0,1155.0,0.025,0.001,2,1,1,BASELINE
68,BRAZIL,,1160.0,1160.0,0.014,0.001,1,1,1,BASELINE
69,BRAZIL,,1190.0,1190.0,0.015,0.001,1,1,1,BASELINE
