task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,30.0,30.0,1.293,0.005,2,1,1,DRL
2,USA,,35.0,35.0,0.484,0.005,15,1,1,DRL
3,BRAZIL,,60.0,60.0,0.456,0.005,1,1,1,DRL
4,EUROPE,,75.0,75.0,0.436,0.005,2,1,1,DRL
5,EUROPE,,80.0,80.0,0.44,0.005,2,1,1,DRL
6,EUROPE,,85.0,85.0,0.439,0.005,2,1,1,DRL
7,EUROPE,,110.0,110.0,0.445,0.005,2,1,1,DRL
8,EUROPE,,130.0,130.0,0.434,0.005,2,1,1,DRL
9,BRAZIL,,140.0,140.0,0.422,0.005,1,1,1,DRL
10,EUROPE,,155.0,155.0,0.434,0.005,2,1,1,DRL
11,EUROPE,,165.0,165.0,0.434,0.005,2,1,1,DRL
12,USA,falha_hardware_camera_esq,190.0,190.0,0.435,0.005,,0,1,DRL
13,EUROPE,,220.0,220.0,0.44,0.005,2,1,1,DRL
14,USA,,235.0,235.0,0.438,0.005,15,1,1,DRL
15,EUROPE,,245.0,245.0,0.439,0.005,2,1,1,DRL
16,EUROPE,,250.0,250.0,0.429,0.005,2,1,1,DRL
17,BRAZIL,,275.0,275.0,0.467,0.005,1,1,1,DRL
18,EUROPE,,280.0,280.0,0.448,0.005,2,1,1,DRL
19,USA,,375.0,375.0,0.447,0.005,15,1,1,DRL
20,BRAZIL,,385.0,385.0,0.432,0.005,1,1,1,DRL
21,BRAZIL,,425.0,425.0,0.43,0.005,1,1,1,DRL
22,BRAZIL,restricao_soberania_brasil,440.0,440.0,0.424,0.005,,0,0,DRL
23,BRAZIL,,450.0,450.0,0.426,0.005,1,1,1,DRL
24,BRAZIL,,480.0,480.0,0.43,0.005,1,1,1,DRL
25,BRAZIL,,485.0,485.0,0.419,0.005,1,1,1,DRL
26,BRAZIL,restricao_gdpr_europa,490.0,490.0,0.426,0.005,,0,0,DRL
27,EUROPE,,525.0,525.0,0.442,0.005,2,1,1,DRL
28,EUROPE,,535.0,535.0,0.491,0.005,2,1,1,DRL
29,EUROPE,,565.0,565.0,0.47,0.005,2,1,1,DRL
30,EUROPE,,580.0,580.0,0.438,0.005,2,1,1,DRL
31,EUROPE,,590.0,590.0,0.432,0.005,2,1,1,DRL
32,EUROPE,falha_hardware_camera_esq,630.0,630.0,0.437,0.005,,0,1,DRL
33,USA,,635.0,635.0,0.455,0.005,15,1,1,DRL
34,BRAZIL,,640.0,640.0,0.425,0.005,1,1,1,DRL
35,USA,,660.0,660.0,0.44,0.005,15,1,1,DRL
36,BRAZIL,,670.0,670.0,0.438,0.005,1,1,1,DRL
37,BRAZIL,,700.0,700.0,0.428,0.005,1,1,1,DRL
38,EUROPE,,720.0,720.0,0.427,0.005,2,1,1,DRL
39,BRAZIL,,725.0,725.0,0.43,0.005,1,1,1,DRL
40,BRAZIL,restricao_gdpr_europa,755.0,755.0,0.428,0.005,,0,0,DRL
41,BRAZIL,,760.0,760.0,0.423,0.005,1,1,1,DRL
42,BRAZIL,,765.0,765.0,0.573,0.005,1,1,1,DRL
43,EUROPE,restricao_soberania_brasil,790.0,790.0,0.443,0.005,,0,0,DRL
44,EUROPE,restricao_gdpr_europa,805.0,805.0,0.714,0.005,,0,0,DRL
45,USA,,825.0,825.0,0.701,0.005,15,1,1,DRL
46,BRAZIL,,840.0,840.0,0.637,0.005,1,1,1,DRL
47,BRAZIL,,910.0,910.0,0.631,0.005,1,1,1,DRL
48,EUROPE,,930.0,930.0,0.55,0.005,2,1,1,DRL
49,EUROPE,,935.0,935.0,0.452,0.005,2,1,1,DRL
50,EUROPE,,940.0,940.0,0.439,0.005,2,1,1,DRL
51,BRAZIL,,950.0,950.0,0.441,0.005,1,1,1,DRL
52,BRAZIL,,960.0,960.0,0.433,0.005,1,1,1,DRL
53,USA,,970.0,970.0,0.427,0.005,15,1,1,DRL
54,USA,,980.0,980.0,0.423,0.005,15,1,1,DRL
55,USA,falha_hardware_camera_esq,985.0,985.0,0.445,0.005,,0,1,DRL
56,EUROPE,,990.0,990.0,0.494,0.005,2,1,1,DRL
57,EUROPE,,995.0,995.0,0.644,0.005,2,1,1,DRL
58,EUROPE,,1010.0,1010.0,0.49,0.005,2,1,1,DRL
59,EUROPE,,1045.0,1045.0,0.45,0.005,2,1,1,DRL
60,EUROPE,,1055.0,1055.0,0.433,0.005,2,1,1,DRL
61,USA,,1060.0,1060.0,0.427,0.005,15,1,1,DRL
62,BRAZIL,,1065.0,1065.0,0.432,0.005,1,1,1,DRL
63,EUROPE,,1085.0,1085.0,0.432,0.005,2,1,1,DRL
64,EUROPE,,1090.0,1090.0,0.463,0.005,2,1,1,DRL
65,EUROPE,,1115.0,1115.0,0.435,0.005,2,1,1,DRL
66,EUROPE,,1120.0,1120.0,0.58,0.005,2,1,1,DRL
67,EUROPE,,1155.0,1155.0,0.475,0.005,2,1,1,DRL
68,BRAZIL,,1160.0,1160.0,0.436,0.005,1,1,1,DRL
69,BRAZIL,,1190.0,1190.0,0.436,0.005,1,1,1,DRL
