task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,30.0,30.0,1257.676,5.0,2,1,1,LLM
2,USA,,35.0,35.0,1334.904,5.0,15,1,1,LLM
3,BRAZIL,,60.0,60.0,1089.067,5.0,1,1,1,LLM
4,EUROPE,,75.0,75.0,1046.687,5.0,2,1,1,LLM
5,EUROPE,,80.0,80.0,1079.581,5.0,2,1,1,LLM
6,EUROPE,,85.0,85.0,1513.966,5.0,2,1,1,LLM
7,EUROPE,,110.0,110.0,1130.061,5.0,2,1,1,LLM
8,EUROPE,,130.0,130.0,858.365,5.0,2,1,1,LLM
9,BRAZIL,,140.0,140.0,1045.439,5.0,1,1,1,LLM
10,EUROPE,,155.0,155.0,831.938,5.0,2,1,1,LLM
11,EUROPE,,165.0,165.0,51713.2,5.0,2,1,1,LLM
12,USA,falha_hardware_camera_esq,190.0,190.0,822.099,5.0,,0,1,LLM
13,EUROPE,,220.0,220.0,1240.211,5.0,2,1,1,LLM
14,USA,,235.0,235.0,916.271,5.0,15,1,1,LLM
15,EUROPE,,245.0,245.0,924.739,5.0,2,1,1,LLM
16,EUROPE,,250.0,250.0,926.611,5.0,2,1,1,LLM
17,BRAZIL,,275.0,275.0,922.54,5.0,1,1,1,LLM
18,EUROPE,,280.0,280.0,876.626,5.0,2,1,1,LLM
19,USA,,375.0,375.0,1085.544,5.0,15,1,1,LLM
20,BRAZIL,,385.0,385.0,945.43,5.0,1,1,1,LLM
21,BRAZIL,,425.0,425.0,51490.96,5.0,1,1,1,LLM
22,BRAZIL,restricao_soberania_brasil,440.0,440.0,751.348,5.0,1,1,1,LLM
23,BRAZIL,,450.0,450.0,1099.366,5.0,1,1,1,LLM
24,BRAZIL,,480.0,480.0,2151.559,5.0,1,1,1,LLM
25,BRAZIL,,485.0,485.0,925.157,5.0,1,1,1,LLM
26,BRAZIL,restricao_gdpr_europa,490.0,490.0,823.669,5.0,2,1,1,LLM
27,EUROPE,,525.0,525.0,847.217,5.0,2,1,1,LLM
28,EUROPE,,535.0,535.0,1205.071,5.0,2,1,1,LLM
29,EUROPE,,565.0,565.0,1129.096,5.0,2,1,1,LLM
30,EUROPE,,580.0,580.0,853.735,5.0,2,1,1,LLM
31,EUROPE,,590.0,590.0,52001.002,5.0,2,1,1,LLM
32,EUROPE,falha_hardware_camera_esq,630.0,630.0,923.51,5.0,,0,1,LLM
33,USA,,635.0,635.0,792.704,5.0,15,1,1,LLM
34,BRAZIL,,640.0,640.0,954.729,5.0,1,1,1,LLM
35,USA,,660.0,660.0,1027.494,5.0,15,1,1,LLM
36,BRAZIL,,670.0,670.0,925.275,5.0,1,1,1,LLM
37,BRAZIL,,700.0,700.0,922.09,5.0,1,1,1,LLM
38,EUROPE,,720.0,720.0,47318.278,5.0,2,1,1,LLM
39,BRAZIL,,725.0,725.0,823.035,5.0,1,1,1,LLM
40,BRAZIL,restricao_gdpr_europa,755.0,755.0,13324.828,5.0,2,1,1,LLM
41,BRAZIL,,760.0,760.0,857.823,5.0,1,1,1,LLM
42,BRAZIL,,765.0,765.0,982.533,5.0,1,1,1,LLM
43,EUROPE,restricao_soberania_brasil,790.0,790.0,912.194,5.0,1,1,1,LLM
44,EUROPE,restricao_gdpr_europa,805.0,805.0,783.174,5.0,2,1,1,LLM
45,USA,,825.0,825.0,790.411,5.0,15,1,1,LLM
46,BRAZIL,,840.0,840.0,1313.456,5.0,1,1,1,LLM
47,BRAZIL,,910.0,910.0,1126.02,5.0,1,1,1,LLM
48,EUROPE,,930.0,930.0,924.46,5.0,2,1,1,LLM
49,EUROPE,,935.0,935.0,40147.283,5.0,2,1,1,LLM
50,EUROPE,,940.0,940.0,1028.994,5.0,2,1,1,LLM
51,BRAZIL,,950.0,950.0,13212.009,5.0,1,1,1,LLM
52,BRAZIL,,960.0,960.0,824.175,5.0,1,1,1,LLM
53,USA,,970.0,970.0,1025.606,5.0,15,1,1,LLM
54,USA,,980.0,980.0,923.678,5.0,15,1,1,LLM
55,USA,falha_hardware_camera_esq,985.0,985.0,822.19,5.0,,0,1,LLM
56,EUROPE,,990.0,990.0,924.624,5.0,2,1,1,LLM
57,EUROPE,,995.0,995.0,821.153,5.0,2,1,1,LLM
58,EUROPE,,1010.0,1010.0,1130.578,5.0,2,1,1,LLM
59,EUROPE,,1045.0,1045.0,40669.251,5.0,2,1,1,LLM
60,EUROPE,,1055.0,1055.0,942.079,5.0,2,1,1,LLM
61,USA,,1060.0,1060.0,17999.571,5.0,15,1,1,LLM
62,BRAZIL,,1065.0,1065.0,924.579,5.0,1,1,1,LLM
63,EUROPE,,1085.0,1085.0,807.325,5.0,2,1,1,LLM
64,EUROPE,,1090.0,1090.0,1042.177,5.0,2,1,1,LLM
65,EUROPE,,1115.0,1115.0,1114.368,5.0,2,1,1,LLM
66,EUROPE,,1120.0,1120.0,1069.895,5.0,2,1,1,LLM
67,EUROPE,,1155.0,1155.0,894.889,5.0,2,1,1,LLM
68,BRAZIL,,1160.0,1160.0,829.548,5.0,1,1,1,LLM
69,BRAZIL,,1190.0,1190.0,35025.798,5.0,1,1,1,LLM
