task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,5.0,5.0,0.65,0.005,2,1,1,DRL
2,BRAZIL,,25.0,25.0,0.224,0.005,1,1,1,DRL
3,BRAZIL,,135.0,135.0,0.213,0.005,1,1,1,DRL
4,USA,,145.0,145.0,0.223,0.005,15,1,1,DRL
5,EUROPE,restricao_gdpr_europa,150.0,150.0,0.199,0.005,,0,0,DRL
6,EUROPE,,175.0,175.0,0.208,0.005,2,1,1,DRL
7,EUROPE,,185.0,185.0,0.202,0.005,2,1,1,DRL
8,BRAZIL,,205.0,205.0,0.201,0.005,1,1,1,DRL
9,EUROPE,,215.0,215.0,0.195,0.005,2,1,1,DRL
10,BRAZIL,falha_hardware_camera_esq,220.0,220.0,0.254,0.005,,0,1,DRL
11,BRAZIL,,235.0,235.0,0.196,0.005,1,1,1,DRL
12,USA,falha_hardware_camera_esq,250.0,250.0,0.244,0.005,,0,1,DRL
13,EUROPE,,255.0,255.0,0.195,0.005,2,1,1,DRL
14,EUROPE,,275.0,275.0,0.244,0.005,2,1,1,DRL
15,EUROPE,,285.0,285.0,0.2,0.005,2,1,1,DRL
16,BRAZIL,,310.0,310.0,0.244,0.005,1,1,1,DRL
17,EUROPE,,330.0,330.0,0.205,0.005,2,1,1,DRL
18,BRAZIL,,345.0,345.0,0.244,0.005,1,1,1,DRL
19,USA,falha_hardware_camera_esq,360.0,360.0,0.201,0.005,,0,1,DRL
20,USA,,400.0,400.0,0.203,0.005,15,1,1,DRL
21,BRAZIL,,440.0,440.0,0.202,0.005,1,1,1,DRL
22,BRAZIL,,445.0,445.0,0.198,0.005,1,1,1,DRL
23,USA,,465.0,465.0,0.197,0.005,15,1,1,DRL
24,EUROPE,,470.0,470.0,0.192,0.005,2,1,1,DRL
25,EUROPE,,475.0,475.0,0.259,0.005,2,1,1,DRL
26,EUROPE,,480.0,480.0,0.194,0.005,2,1,1,DRL
27,USA,,510.0,510.0,0.213,0.005,15,1,1,DRL
28,USA,,515.0,515.0,0.195,0.005,15,1,1,DRL
29,BRAZIL,,520.0,520.0,0.189,0.005,1,1,1,DRL
30,EUROPE,,525.0,525.0,0.268,0.005,2,1,1,DRL
31,BRAZIL,,540.0,540.0,0.199,0.005,1,1,1,DRL
32,BRAZIL,,555.0,555.0,0.207,0.005,1,1,1,DRL
33,EUROPE,,560.0,560.0,0.191,0.005,2,1,1,DRL
34,BRAZIL,,580.0,580.0,0.237,0.005,1,1,1,DRL
35,USA,,590.0,590.0,0.192,0.005,15,1,1,DRL
36,BRAZIL,,605.0,605.0,0.222,0.005,1,1,1,DRL
37,EUROPE,,640.0,640.0,0.219,0.005,2,1,1,DRL
38,BRAZIL,,670.0,670.0,0.2,0.005,1,1,1,DRL
39,BRAZIL,,680.0,680.0,0.191,0.005,1,1,1,DRL
40,EUROPE,,685.0,685.0,0.192,0.005,2,1,1,DRL
41,BRAZIL,,695.0,695.0,0.192,0.005,1,1,1,DRL
42,EUROPE,,715.0,715.0,0.196,0.005,2,1,1,DRL
43,EUROPE,,720.0,720.0,0.19,0.005,2,1,1,DRL
44,USA,restricao_gdpr_europa,750.0,750.0,0.195,0.005,,0,0,DRL
45,BRAZIL,,760.0,760.0,0.219,0.005,1,1,1,DRL
46,USA,restricao_soberania_brasil,780.0,780.0,0.193,0.005,,0,0,DRL
47,USA,,810.0,810.0,0.239,0.005,15,1,1,DRL
48,USA,,835.0,835.0,0.199,0.005,15,1,1,DRL
49,USA,,850.0,850.0,0.194,0.005,15,1,1,DRL
50,USA,,860.0,860.0,0.198,0.005,15,1,1,DRL
51,BRAZIL,restricao_soberania_brasil,870.0,870.0,0.214,0.005,,0,0,DRL
52,EUROPE,,910.0,910.0,0.197,0.005,2,1,1,DRL
53,USA,,920.0,920.0,0.208,0.005,15,1,1,DRL
54,EUROPE,,930.0,930.0,0.192,0.005,2,1,1,DRL
55,USA,,945.0,945.0,0.196,0.005,15,1,1,DRL
56,BRAZIL,,970.0,970.0,0.199,0.005,1,1,1,DRL
57,USA,,975.0,975.0,0.195,0.005,15,1,1,DRL
58,BRAZIL,,1005.0,1005.0,0.199,0.005,1,1,1,DRL
59,EUROPE,,1020.0,1020.0,0.201,0.005,2,1,1,DRL
60,EUROPE,,1065.0,1065.0,0.224,0.005,2,1,1,DRL
61,USA,,1080.0,1080.0,0.253,0.005,15,1,1,DRL
62,USA,,1095.0,1095.0,0.24,0.005,15,1,1,DRL
63,BRAZIL,,1100.0,1100.0,0.255,0.005,1,1,1,DRL
64,USA,,1105.0,1105.0,0.208,0.005,15,1,1,DRL
65,BRAZIL,,1135.0,1135.0,0.225,0.005,1,1,1,DRL
66,USA,,1160.0,1160.0,0.426,0.005,15,1,1,DRL
67,USA,,1195.0,1195.0,0.449,0.005,15,1,1,DRL
